AreaOfInte,longitude,latitude,AreaOfIn_1,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area
"235",-81.438239999999993,28.566620000000000,"Lawne, Lake","312516","107808735",2013/06/26,"2","00285401",Lawne Lake,0.59569551000,87.00000000000,"03080101010320","390","39009","1000000",0.04709569403,0.00005493320
"206",-81.285360999999995,27.378537000000001,"Istokpoga, Lake","402140",{3B811619-E5B5-45C7-B7D9-56FCFA8F5893},2016/05/22,"2",,,6.79569650000,0.00000000000,,"466","46600","1000000",0.11213691152,0.00061993565
"206",-81.285360999999995,27.378537000000001,"Istokpoga, Lake","287826","120024294",2016/05/22,"2","00284635",Lake Istokpoga,96.57482335000,11.60000000000,"03090101037913","390","39009","5000000",0.89621127043,0.00881036180
"276",-81.426270000000002,28.537949999999999,"Mann, Lake","430229","112027795",2009/09/10,"2","00286385",Lake Mann,1.06900000000,27.40000000000,"03090101028037","390","39009","1000000",0.04726961832,0.00009859817
"140",-81.409216999999998,28.593983000000001,"Fairview, Lake","161867","107808999",2009/09/10,"2","00282341",Lake Fairview,1.64100000000,88.00000000000,"03080101010249","390","39009","2000000",0.08011562303,0.00015134729
"386",-81.401949999999999,28.585432999999998,"Sarah, Lake","129986","107809233",2009/09/10,"2","00290674",Lake Sarah,0.05000000000,0.00000000000,"03080101010257","390","39004","250000",0.00789470231,0.00000465448
"474",-81.413749999999993,28.795000000000002,Wekiva River,"246414","107827921",2015/05/06,"2",,,16.09498205000,0.00000000000,,"466","46600","2000000",0.51013812725,0.00148659816
"23",-82.267888999999997,28.047830999999999,Baker Creek,"468418","41996773",2013/02/05,"2",,,1.19666824000,0.00000000000,,"466","46600","250000",0.14436352529,0.00010981736
"23",-82.267888999999997,28.047830999999999,Baker Creek,"469929","41989515",2013/02/05,"2",,,0.33213719000,0.00000000000,"03100205009743","436","43600","500000",0.02864791230,0.00003048506
"23",-82.267888999999997,28.047830999999999,Baker Creek,"331581",{725BAEC9-B3D3-47C6-BFBE-78BC1A2A3F6A},2013/02/05,"2",,,0.27704491000,0.00000000000,,"466","46600","100000",0.02562211334,0.00002542655
"188",-82.473617000000004,27.963850000000001,Hillsborough River,,,,,,,,,,,,,,
"625",-82.261623000000000,27.829281000000002,Grady Lake,"459287","51901949",2012/11/05,"2",,,0.72042753000,0.00000000000,"03100204001331","390","39004","5000000",0.07938057226,0.00006599184
"272",-81.351033000000001,28.621700000000001,"Maitland, Lake","79263","107807213",2009/09/10,"2","00286319",Lake Maitland,1.81800000000,66.00000000000,"03080101010122","390","39009","2000000",0.10781665302,0.00016773247
"333",-81.346950000000007,28.600600000000000,"Osceola, Lake","148140","107806849",2009/09/10,"2","00288267",Lake Osceola,0.63200000000,66.00000000000,"03080101010198","390","39009","1000000",0.04433687517,0.00005830836
"162",-81.506349000000000,27.563378000000000,"Glenada, Lake","423906","112047597",2014/09/09,"2","00283112",Lake Glenada,0.73421379000,35.10000000000,"03090101037281","390","39009","1000000",0.04420594324,0.00006709253
"454",-82.286249999999995,27.268500000000000,Upper Myakka Lake,"295686",{73C3EE2E-6D6B-4E7C-85E7-5EC36995AD30},2019/07/16,"2","00287499",Lake Myakka,3.34996074000,0.00000000000,"03100102012113","390","39009","2000000",0.11291858742,0.00030533636
"312",-82.273667000000003,27.025283000000002,Myakka River,"156111","166787849",2009/01/23,"2",,,0.04400000000,0.00000000000,,"466","46600","50000",0.01754716724,0.00000395669
"442",-82.272767000000002,28.054400000000001,"Thonotosassa, Lake","469350","41988831",2013/02/05,"2","00294174",Lake Thonotosassa,3.52888441000,35.00000000000,"03100205001393","390","39009","5000000",0.10322276203,0.00032391829
"221",-81.433149999999998,27.388190000000002,"Josephine, Lake","425420","112049879",2014/09/09,"2","00284942",Lake Josephine,5.15577169000,21.60000000000,"03090101038240","390","39009","2000000",0.14544789700,0.00047043908
"75",-81.347925000000004,27.312059000000001,Clay Lake,"425602","112050297",2014/01/12,"2","00280516",Lake Clay,1.43846032000,23.80000000000,"03090101038456","390","39009","2000000",0.05288399097,0.00013115209
"198",-81.342876000000004,27.289694999999998,"Huntley, Lake","427139","112050445",2014/09/09,"2","00284412",Lake Huntley,2.70342476000,25.30000000000,"03090101038505","390","39009","2000000",0.10063139522,0.00024643463
"54",-81.137039000000001,29.434638000000000,Bulow Creek,,,,,,,,,,,,,,
"115",-81.407933000000000,29.290167000000000,"Disston, Lake","78896","125973926",2011/09/26,"2","00281592",Lake Disston,7.73900000000,14.00000000000,"03080103003498","390","39009","5000000",0.11603247327,0.00071851350
"115",-81.407933000000000,29.290167000000000,"Disston, Lake","89026","125973565",2014/03/21,"2",,,4.23061239000,0.00000000000,,"466","46600","5000000",0.20142798068,0.00039286034
"422",-81.512716999999995,29.430016999999999,"Stella, Lake","89027","125973915",2011/09/26,"2","00295019",Stella Lake,1.25900000000,40.00000000000,"03080103003418","390","39009","1000000",0.09236045915,0.00011707319
"21",-81.094549999999998,28.937783000000000,"Ashby, Lake","269020","107776069",2015/02/13,"2","00277968",Lake Ashby,3.72622271000,11.00000000000,"03080101011584","390","39009","5000000",0.09134869642,0.00034479810
"318",-82.252579999999995,29.618120000000001,"Newnan, Lake","139640","112699096",2020/05/28,"2","00294429",Newnans Lake,24.17494630000,0.00000000000,"03080102005765","390","39000","5000000",0.21087170197,0.00225238071
"318",-82.252579999999995,29.618120000000001,"Newnan, Lake","170507",{7CD9D850-7DC1-4CAB-AE36-5275C71BA4C0},2020/03/18,"2",,,1.05962155000,0.00000000000,,"466","46600","250000",0.12150107673,0.00009871068
"318",-82.252579999999995,29.618120000000001,"Newnan, Lake","196897","112683932",2020/03/18,"2",,,9.46678192000,0.00000000000,,"466","46600","1000000",0.95505297382,0.00088210970
"471",-82.270332999999994,27.988133000000001,"Weeks, Lake","469402","41957577",2013/02/05,"2","00292993",Lake Weeks,0.18407337000,41.00000000000,"03100205001450","390","39009","500000",0.01864836673,0.00001688521
"370",-82.596660000000000,27.987192000000000,Rocky Creek,"67164",{418AC9F3-A5C5-4F88-A9F9-FCCC7602D017},2019/06/18,"2",,,1.81182358000,0.00000000000,,"466","46600","500000",0.13266826848,0.00016619479
"370",-82.596660000000000,27.987192000000000,Rocky Creek,"72551",{05AF4614-384A-4D50-A700-A51993F7A620},2019/06/18,"2",,,1.68415710000,0.00000000000,,"466","46600","500000",0.23202263020,0.00015449572
"321",-81.264644000000004,29.045876000000000,North Lake Talmadge,"159527","125971322",2018/02/20,"2","00298076",North Lake Talmadge,0.49666681000,55.00000000000,"03080103003585","390","39009","1000000",0.03458914339,0.00004600923
"374",-82.587576999999996,29.028832999999999,"Rousseau, Lake","506558","68038611",2013/03/20,"2","00290015",Lake Rousseau,10.91065297000,0.00000000000,"03100208002156","390","39004","5000000",1.01773505514,0.00101057234
"250",-81.473079999999996,27.541219999999999,Little Red Water Lake,"430226","112047993",2003/11/20,"2","00285771",Little Red Water Lake,1.26900000000,31.70000000000,"03090101037432","390","39009","2000000",0.05412772668,0.00011593784
"150",-82.087048999999993,28.576982000000001,"Gant, Lake and Canal","521757","68089159",2013/05/02,"2",,,0.73442655000,0.00000000000,,"466","46600","250000",0.08072696936,0.00006773386
"150",-82.087048999999993,28.576982000000001,"Gant, Lake and Canal","240408","68053115",2013/05/02,"2","00278674",Big Gant Lake,0.22308257000,76.00000000000,"03100208003168","390","39009","500000",0.01717225821,0.00002057431
"639",-81.976330000000004,27.631100000000000,Hardee Lakes FMA,"240074","78596359",2013/11/12,"2",,,0.41174353000,0.00000000000,"03100101019806","436","43600","500000",0.02714722467,0.00003764694
"241",-81.513767000000001,28.410382999999999,Little Fish Lake,"148227","112031491",2003/11/20,"2","00285678",Little Fish Lake,0.09800000000,29.90000000000,"03090101029629","390","39009","500000",0.01103884461,0.00000905841
"355",-81.514116999999999,28.422833000000001,Pocket Lake,"427157","112030991",2011/04/15,"2","00289103",Pocket Lake,0.51700000000,29.90000000000,"03090101029404","390","39009","1000000",0.03057091928,0.00004761651
"263",-82.327667000000005,27.219950000000001,Lower Myakka Lake,"293266","56700577",2019/07/16,"2","00286172",Lower Myakka Lake,2.29539747000,14.00000000000,"03100102001447","390","39009","2000000",0.08870919185,0.00020911156
"340",-82.118160000000003,28.794760000000000,"Panasoffkee, Lake","18712","68089519",2013/08/20,"2","00294114",Lake Panasoffkee,13.18681544000,0.00000000000,"03100208002551","390","39004","5000000",0.31079077069,0.00121875533
"200",-84.248469999999998,30.633430000000001,"Iamonia, Lake","170695","129950754",2015/08/06,"2","00284452",Lake Iamonia,21.53780402000,0.00000000000,"03120003001444","390","39004","5000000",1.02581767691,0.00202643397
"291",-83.969220000000007,30.555650000000000,"Miccosukee, Lake","457196","129753569",2011/02/04,"2","00286773",Lake Miccosukee,20.26300000000,0.00000000000,"03120001008814","390","39004","5000000",0.31002540907,0.00190530190
"267",-85.882266999999999,30.220800000000001,"Lullwater, Lake","247487","122170680",2004/06/28,"2",,,0.14200000000,0.00000000000,"03140101000920","390","39004","500000",0.03894818827,0.00001327789
"282",-85.607290000000006,30.141729999999999,Martin Bayou,"525695","122184244",2014/11/12,"2","00286469",Lake Martin,0.55492425000,0.00000000000,"03140101000924","390","39004","1000000",0.05284445332,0.00005195410
"459",-83.995949999999993,30.344760000000001,Wacissa River,"457670","127432289",2020/10/27,"2",,,128.72223469000,0.00000000000,,"466","46600","5000000",6.80674084268,0.01206518301
"433",-84.577230000000000,30.416560000000000,"Talquin, Lake","124897","129952717",2016/04/09,"2","00306480",Lake Talquin,32.83243952000,21.00000000000,"03120003001574","390","39009","5000000",1.53390074506,0.00308297032
"215",-81.263959999999997,28.726690000000001,"Jessup, Lake","387464",{D8DA0807-9BD3-48A2-B594-AEA2ADF2EB95},2015/05/06,"2",,,2.27133549000,0.00000000000,,"466","46600","500000",0.09108630384,0.00020977444
"215",-81.263959999999997,28.726690000000001,"Jessup, Lake","124899","107775551",2015/05/06,"2","00295793",Lake Jesup,32.60912776000,0.00000000000,"03080101009624","390","39004","5000000",0.70267236423,0.00301169332
"122",-82.795899000000006,30.410889999999998,Eagle Lake FMA,"263460","134532013",2020/01/23,"2",,,0.13545750000,0.00000000000,"03110201012776","436","43600","500000",0.04313470982,0.00001271660
"467",-82.602850000000004,30.193317000000000,Watertown Lake,"263863","134533351",2020/01/23,"2","00306566",Watertown Lake,0.19368187000,0.00000000000,"03110201001157","390","39004","500000",0.01659050801,0.00001814295
"467",-82.602850000000004,30.193317000000000,Watertown Lake,"17736",{8E479623-640F-4F33-AA76-318F7AE43568},2020/05/26,"2",,,0.20075854000,0.00000000000,"03110201015646","436","43600","0",0.01686902629,0.00001880586
"464",-80.735579999999999,28.146940000000001,"Washington, Lake","273858","107805541",2014/09/05,"2","00292914",Lake Washington,12.15968696000,17.00000000000,"03080101011019","390","39009","5000000",0.18603341126,0.00111699125
"16",-81.608649999999997,28.609100000000002,"Apopka, Lake","259160","112615520",2020/05/28,"2","00293912",Lake Apopka,125.37835070000,0.00000000000,"03080102005464","390","39000","5000000",0.67018595153,0.01156844655
"165",-81.846010000000007,28.897710000000000,"Griffin, Lake","27919","167179686",2020/05/28,"2","00305765",Lake Griffin,38.33686867000,0.00000000000,"03080102025009","390","39000","5000000",0.57412400840,0.00354537038
"146",-80.874139999999997,28.589030000000001,Fox Lake,"139485","107777833",2015/07/13,"2","00282770",Fox Lake,0.65459493000,0.00000000000,"03080101010003","390","39004","1000000",0.07157820648,0.00006038053
"112",-81.307350000000000,29.159632999999999,"Dias, Lake","259338","125973930",2011/09/26,"2","00281551",Lake Dias,2.81400000000,35.00000000000,"03080103003535","390","39009","2000000",0.08499020917,0.00026097480
"38",-81.272067000000007,29.032717000000002,Blue Lake,"223883","125971330",2004/09/27,"2","00279038",Blue Lake,0.22600000000,55.00000000000,"03080103003595","390","39009","500000",0.02675791505,0.00002092002
"409",-80.868243000000007,28.618314999999999,South Lake,"221430","107777641",2015/05/06,"2","00291391",South Lake,4.36190988000,16.00000000000,"03080101009917","390","39009","2000000",0.17241733042,0.00040244225
"638",-81.259924999999996,29.058197000000000,Cypress Lake,"121277","107723965",2003/10/16,"2","00281223",Cypress Lake,0.05700000000,63.00000000000,"03080101009141","390","39009","250000",0.00868945178,0.00000528623
"202",-80.081822000000003,26.480792000000001,"Ida, Lake","447847","138370141",2015/02/05,"2","00284458",Lake Ida,0.59550324000,0.00000000000,"03090206045138","390","39004","5000000",0.07769751067,0.00005390697
"332",-80.078480999999996,26.595511999999999,"Osborne, Lake","54144","138369423",2015/02/05,"2","00288259",Lake Osborne,1.58118183000,0.00000000000,"03090206044270","390","39004","5000000",0.23219730030,0.00014327372
"74",-80.073680999999993,26.644145999999999,"Clarke, Lake","442349","138368976",2015/02/05,"2","00280498",Lake Clarke,0.22643386000,0.00000000000,"03090206043955","390","39004","500000",0.04638508588,0.00002052598
"350",-80.072265999999999,26.682071000000001,"Pine, Lake","448496","138368540",2015/02/05,"2",,,0.14120167000,0.00000000000,"03090206043666","436","43600","500000",0.02136303179,0.00001280382
"246",-80.786360000000002,28.066770000000002,Little Lake Sawgrass,"225799","164160423",2016/02/24,"2","00285813",Little Sawgrass Lake,0.36696635000,0.00000000000,"03080101045661","390","39004","5000000",0.03124372976,0.00003368547
"230",-81.777786000000006,29.355229999999999,"Kerr, Lake","191103","107881209",2014/10/16,"2","00305905",Lake Kerr,11.74584074000,25.00000000000,"03080101028892","390","39009","5000000",0.33041018088,0.00109130001
"419",-81.537149999999997,28.571750000000002,Starke Lake,"235322","107840471",2013/06/26,"2","00291635",Starke Lake,0.93690159000,98.00000000000,"03080101010335","390","39009","1000000",0.05245138976,0.00008640344
"360",-81.536850000000001,28.564080000000001,"Prima Vista, Lake","235322","107840471",2013/06/26,"2","00291635",Starke Lake,0.93690159000,98.00000000000,"03080101010335","390","39009","1000000",0.05245138976,0.00008640344
"615",-84.157402000000005,30.432579000000000,Lafayette Lake,"544436",{790E86A0-1C71-49A6-83B2-F882C827E5E7},2020/10/27,"2",,,3.61270128000,0.00000000000,,"466","46600","0",0.26788227605,0.00033922110
"210",-84.321230000000000,30.529850000000000,"Jackson, Lake","303794","129952177",2016/04/09,"2","00284694",Lake Jackson,14.95426367000,26.50000000000,"03120003001734","390","39009","5000000",0.48865007011,0.00140558863
"170",-84.248159999999999,30.521460000000001,"Hall, Lake","21492","129951937",2014/07/22,"2","00283627",Lake Hall,0.72361684000,42.10000000000,"03120003001525","390","39009","1000000",0.04524277578,0.00006800812
"107",-85.586789999999993,30.306600000000000,Deer Point Lake,"134046","122162436",2017/01/15,"2","00281453",Deer Point Lake,12.00396935000,0.00000000000,"03140101006086","390","39004","5000000",0.54571513835,0.00112567357
"199",-86.758820000000000,30.940780000000000,Hurricane Lake FMA,"9138","120023966",2015/05/20,"2","00305849",Hurricane Lake,1.31784268000,0.00000000000,"03140104001013","390","39004","2000000",0.13549907950,0.00012438365
"319",-81.358119000000002,28.622360000000000,"Nina, Lake","79263","107807213",2009/09/10,"2","00286319",Lake Maitland,1.81800000000,66.00000000000,"03080101010122","390","39009","2000000",0.10781665302,0.00016773247
"227",-86.128919999999994,30.769729999999999,Juniper Lake FMA,"344829","63033541",2013/06/25,"2","00284998",Juniper Lake,2.24945987000,191.00000000000,"03140203001894","390","39009","2000000",0.15129623269,0.00021194504
"290",-85.170119999999997,30.776599999999998,Merritt's Mill Pond,"550184","85826380",2020/04/15,"2","00286737",Merritts Mill Pond,1.17059761000,77.00000000000,"03130012001448","390","39009","5000000",0.15000228081,0.00011029695
"37",-80.751069000000001,27.729524000000001,Blue Cypress Lake,"83966","107791825",2014/09/05,"2","00307443",Blue Cypress Lake,26.97703112000,24.00000000000,"03080101011546","390","39009","5000000",0.19883171348,0.00246882976
"183",-80.798929999999999,28.025710000000000,"Hellen-Blazes, Lake","269040","107736253",2016/02/24,"2","00307091",Lake Hellen Blazes,1.03054707000,0.00000000000,"03080101011247","390","39004","5000000",0.04952684710,0.00009455828
"389",-80.786990000000003,28.069550000000000,"Sawgrass, Lake","254665","107736095",2011/07/19,"2",,,0.00200000000,0.00000000000,,"466","46600","0",0.00159237571,0.00000018157
"389",-80.786990000000003,28.069550000000000,"Sawgrass, Lake","264297","107736091",2011/07/19,"2",,,0.00400000000,0.00000000000,,"466","46600","24000",0.00237317119,0.00000039361
"389",-80.786990000000003,28.069550000000000,"Sawgrass, Lake","176590","164160422",2015/12/05,"2","00290715",Sawgrass Lake,1.99754769000,0.00000000000,"03080101028858","390","39004","5000000",0.07968885831,0.00018337828
"44",-81.657736000000000,28.143932000000000,"Bonnet, Lake","140005","112634404",2020/05/28,"2","00279214",Bonnet Lake,0.92950871000,0.00000000000,"03080102005744","390","39000","1000000",0.06155748454,0.00008538458
"209",-81.476799999999997,27.497389999999999,"Jackson, Lake","429806","112049059",2009/09/10,"2","00284682",Lake Jackson,13.60100000000,31.10000000000,"03090101037673","390","39009","5000000",0.17949702301,0.00124206209
"61",-84.293229999999994,30.573709999999998,Carr Lake,"21487","129951347",2016/01/04,"2","00280066",Carr Lake,2.83092713000,26.50000000000,"03120003001503","390","39009","2000000",0.21089346642,0.00026619542
"326",-82.004140000000007,28.826110000000000,"Okahumpka, Lake","333611",{AF8EB5A2-08FD-49CA-8C33-3D95830ECA6F},2017/08/11,"2","00288069",Lake Okahumpka,1.62439622000,0.00000000000,"03100208027473","390","39004","2000000",0.08456973910,0.00015016371
"379",-80.949088000000003,28.607890999999999,Ruth Lake,"279176","107835897",2015/05/06,"2","00294134",Ruth Lake,0.52802689000,0.00000000000,"03080101028867","390","39004","5000000",0.03746846002,0.00004871246
"182",-81.877605000000003,28.767873000000002,Helena Run,"244798","112699780",2010/07/06,"2",,,0.14300000000,0.00000000000,,"466","46600","100000",0.01834623164,0.00001323875
"182",-81.877605000000003,28.767873000000002,Helena Run,"185995","120024301",2020/05/28,"2","00294031",Lake Harris,74.52675974000,0.00000000000,"03080102029073","390","39000","5000000",0.80536486710,0.00688581464
"110",-81.909369999999996,28.769259999999999,"Denham, Lake","129680","112683514",2020/05/28,"2","00281501",Lake Denham,1.02735329000,0.00000000000,"03080102029074","390","39000","1000000",0.04083650620,0.00009491933
"6",-81.566249999999997,29.080190000000002,Alexander Springs,"280447","107841193",2018/11/02,"2",,,51.54898785000,0.00000000000,,"466","46600","5000000",2.62387811976,0.00477661567
"217",-81.657054000000002,28.531209000000000,Johns Lake,"45493","112683814",2020/05/28,"2","00284856",Johns Lake,9.89766288000,0.00000000000,"03080102005491","390","39000","5000000",0.48409129370,0.00091246121
"28",-81.655330000000006,28.771989999999999,"Beauclair, Lake","143330","167177234",2020/05/28,"2","00278356",Lake Beauclair,4.55694657000,0.00000000000,"03080102022877","390","39000","5000000",0.11577893474,0.00042104997
"60",-81.656390000000002,28.761160000000000,"Carlton, Lake","147781","167177231",2020/05/28,"2","00280047",Lake Carlton,1.53095330000,0.00000000000,"03080102022867","390","39000","2000000",0.04698023085,0.00014143784
"320",-81.545910000000006,28.933710000000001,"Norris, Lake","264304","107775305",2011/07/19,"2","00306117",Lake Norris,4.69700000000,31.00000000000,"03080101009330","390","39009","5000000",0.10437590878,0.00043463376
