PermanentID,CommonName,Treatments,Established
134187671,Hydrilla,0,0
134187671,Water lettuce,0,0
134188113,Cuban bulrush,0,0
134188113,Hydrilla,0,0
134188113,Para grass,0,0
134188113,Water hyacinth,0,0
134188113,Water lettuce,0,0
134188141,Cuban bulrush,0,0
134188141,Hydrilla,0,0
134188141,Para grass,0,0
138368540,Cuban bulrush,0,0
138368976,Cuban bulrush,0,0
164161194,Cuban bulrush,0,0
164161194,Hydrilla,0,0
164161194,Para grass,0,0
164161194,Water hyacinth,0,0
164161194,Water lettuce,0,0
164161195,Cuban bulrush,0,0
164161195,Hydrilla,0,0
164161195,Para grass,0,0
164161195,Water hyacinth,0,0
164161235,Para grass,0,0
164161235,Water lettuce,1,0
167177231,Cuban bulrush,0,0
167178835,Hydrilla,0,0
167178896,Hydrilla,0,0
167178897,Hydrilla,0,0
167178897,Para grass,0,0
167178897,Water lettuce,1,0
167178898,Hydrilla,0,0
167180956,Para grass,0,0
167180956,Water lettuce,1,0
167181005,Hydrilla,0,0
167181006,Para grass,0,0
167769035,Para grass,0,0
167799219,Para grass,0,0
167799219,Water lettuce,1,0
16798757,Cuban bulrush,0,0
16799991,Hydrilla,0,0
21472978,Cuban bulrush,0,0
21472978,Water lettuce,0,0
21480832,Water lettuce,1,0
2180073,Cuban bulrush,0,0
2180073,Hydrilla,0,0
2180073,Para grass,0,0
2180073,Water hyacinth,0,0
2180073,Water lettuce,0,0
40981775,Cuban bulrush,0,0
40981775,Para grass,0,0
40981775,Water hyacinth,0,0
40981775,Water lettuce,0,0
41960329,Cuban bulrush,0,0
58678095,Water lettuce,0,0
58705443,Water lettuce,1,0
58710015,Para grass,0,0
58710015,Water lettuce,1,0
63005285,Para grass,0,0
63005285,Water hyacinth,0,0
63005285,Water lettuce,0,0
63033541,Hydrilla,0,0
63033541,Para grass,0,0
63033541,Water lettuce,1,0
68037897,Para grass,0,0
68037897,Water hyacinth,0,0
68037897,Water lettuce,0,0
68038947,Para grass,0,0
68038947,Water hyacinth,1,0
68038947,Water lettuce,1,0
68039793,Hydrilla,0,0
68039793,Para grass,0,0
68039793,Torpedograss,0,0
68039793,Water lettuce,1,0
68039931,Para grass,0,0
68039931,Water lettuce,1,0
68053115,Para grass,0,0
68058411,Hydrilla,0,0
68083645,Water lettuce,1,0
68083711,Water hyacinth,1,0
68083711,Water lettuce,1,0
68083775,Water lettuce,1,0
68085027,Para grass,0,0
68085027,Water hyacinth,0,0
68085027,Water lettuce,0,0
68087831,Hydrilla,0,0
68089519,Para grass,0,0
68768614,Cuban bulrush,0,0
78582149,Cuban bulrush,0,0
78582149,Hydrilla,0,0
78583051,Hydrilla,0,0
78591457,Cuban bulrush,0,0
78591457,Water lettuce,1,0
78591485,Water lettuce,1,0
78591531,Water lettuce,1,0
78591697,Water lettuce,1,0
78592009,Water hyacinth,1,0
78592009,Water lettuce,1,0
78592049,Water lettuce,1,0
78592069,Water lettuce,1,0
78597813,Water hyacinth,1,0
78619473,Cuban bulrush,0,0
78619473,Water hyacinth,0,0
78619473,Water lettuce,0,0
78622001,Water lettuce,1,0
78641041,Cuban bulrush,0,0
78642003,Water hyacinth,0,0
78642003,Water lettuce,0,0
78642867,Cuban bulrush,0,0
78643057,Cuban bulrush,0,0
78643427,Water hyacinth,1,0
78686067,Water lettuce,1,0
78686159,Water lettuce,1,0
78686199,Water lettuce,1,0
78686221,Water hyacinth,1,0
78686221,Water lettuce,1,0
78686265,Water hyacinth,1,0
78686265,Water lettuce,1,0
78686287,Water lettuce,1,0
78686289,Water hyacinth,1,0
78686289,Water lettuce,1,0
78686293,Water lettuce,1,0
78686311,Cuban bulrush,0,0
78686311,Water hyacinth,0,0
78686311,Water lettuce,0,0
78686317,Water lettuce,1,0
78686329,Water hyacinth,1,0
78686329,Water lettuce,1,0
78686379,Water lettuce,1,0
78686415,Water lettuce,1,0
78686643,Hydrilla,0,0
78686643,Water lettuce,1,0
78690599,Water lettuce,1,0
78690605,Cuban bulrush,0,0
78690605,Water hyacinth,0,0
78690605,Water lettuce,0,0
78690623,Water lettuce,1,0
78690635,Cuban bulrush,0,0
78690635,Water lettuce,1,0
78690639,Water hyacinth,0,0
78690641,Cuban bulrush,0,0
78690647,Cuban bulrush,0,0
78690647,Water lettuce,1,0
78690649,Water lettuce,1,0
78690651,Water lettuce,1,0
78690653,Hydrilla,1,0
78690653,Water hyacinth,1,0
78690655,Water lettuce,1,0
78690661,Water lettuce,1,0
78690665,Cuban bulrush,0,0
78690681,Hydrilla,1,0
85826380,Cuban bulrush,0,0
85826380,Para grass,0,0
85826380,Water lettuce,1,0
99329629,Cuban bulrush,0,0
99329629,Para grass,0,0
99329629,Torpedograss,0,0
99329629,Water lettuce,1,0
99336327,Hydrilla,0,0
99336327,Para grass,0,0
99336327,Torpedograss,0,0
99336327,Water hyacinth,0,0
99336327,Water lettuce,0,0
99336803,Cuban bulrush,0,0
99336803,Para grass,0,0
99336803,Water lettuce,1,0
c3aa4be1-a57b-47a6-8389-edde0c50422f,Water lettuce,1,0
