Taxon,Habitat,Parameter,Estimate,Std.error,Z,P,Significance
Hydrocotyle spp.,emersed,intercept,1.645,0.074,22.14,1.2961198663855391e-108,< 0.001
Hypericum spp.,emersed,intercept,-1.043,0.066,-15.765,5.405733457646297e-56,< 0.001
Juncus effusus,emersed,intercept,-1.196,0.053,-22.386,5.348703440913305e-111,< 0.001
Leersia hexandra,emersed,intercept,-0.858,0.055,-15.475,5.098125077374874e-54,< 0.001
Lemna/Spirodela spp.,floating,intercept,-0.809,0.051,-16.007,1.141216738748505e-57,< 0.001
Limnobium spongia,floating,intercept,-2.323,0.073,-31.639,1.0699762945984266e-219,< 0.001
Ludwigia palustris/repens,emersed,intercept,-2.11,0.075,-27.96,5.01663558150717e-172,< 0.001
Luziola fluitans,submersed,intercept,-1.219,0.057,-21.262,2.5730103030702493e-100,< 0.001
Mayaca fluviatilis,submersed,intercept,-1.425,0.078,-18.208,4.444504505351168e-74,< 0.001
Micranthemum glomeratum,submersed,intercept,-2.248,0.074,-30.185,3.695521850411871e-200,< 0.001
Micranthemum umbrosum,emersed,intercept,-2.659,0.092,-28.793,2.587294463600639e-182,< 0.001
Myriophyllum laxum/pinnatum,submersed,intercept,-1.408,0.084,-16.832,1.4279703052610328e-63,< 0.001
Najas guadalupensis,submersed,intercept,-1.175,0.053,-22.104,2.9191376275490173e-108,< 0.001
Nelumbo lutea,emersed,intercept,-2.208,0.067,-32.911,1.5392964401715086e-237,< 0.001
Nitella spp.,submersed,intercept,-1.817,0.068,-26.884,3.3367428267983005e-159,< 0.001
Nuphar advena,emersed,intercept,1.105,0.059,18.693,5.6462045034898e-78,< 0.001
Nymphaea mexicana,emersed,intercept,-3.155,0.094,-33.539,1.2837641548558206e-246,< 0.001
Nymphaea odorata,emersed,intercept,0.413,0.049,8.37,5.77167586890088e-17,< 0.001
Nymphoides aquatica,emersed,intercept,-1.02,0.058,-17.493,1.6061026918878614e-68,< 0.001
Panicum hemitomon,emersed,intercept,1.646,0.065,25.374,4.841433713011962e-142,< 0.001
Paspalidium geminatum,emersed,intercept,-1.456,0.055,-26.322,1.0617255304171872e-152,< 0.001
Paspalum repens,emersed,intercept,-3.797,0.12,-31.729,6.240638564847873e-221,< 0.001
Peltandra spp.,emersed,intercept,-2.359,0.079,-29.889,2.695227867968153e-196,< 0.001
Phragmites australis,emersed,intercept,-2.927,0.09,-32.444,6.657799816366138e-231,< 0.001
Pontederia cordata,emersed,intercept,1.38,0.065,21.34,4.8050007478704747e-101,< 0.001
Potamogeton illinoensis,submersed,intercept,-2.089,0.068,-30.766,7.566002524884229e-208,< 0.001
Rhynchospora spp.,emersed,intercept,-1.318,0.059,-22.366,8.371696447136459e-111,< 0.001
Sacciolepis striata,emersed,intercept,-0.36,0.049,-7.413,1.2325664602332366e-13,< 0.001
Sagittaria lancifolia,emersed,intercept,0.173,0.053,3.24,0.0011971270178582271,< 0.01
Sagittaria latifolia,emersed,intercept,-2.167,0.067,-32.405,2.3666788135784943e-230,< 0.001
Sagittaria subulata/graminea/gracillima,emersed,intercept,-2.205,0.076,-28.927,5.487852933381367e-184,< 0.001
Salix spp.,emersed,intercept,1.267,0.069,18.378,1.9594940031240526e-75,< 0.001
Saururus cernuus,emersed,intercept,-1.712,0.066,-25.913,4.7046453425983764e-148,< 0.001
Spartina bakeri,emersed,intercept,-0.831,0.051,-16.393,2.1564821573970867e-60,< 0.001
Thalia geniculata,emersed,intercept,-2.111,0.066,-32.094,5.4176923656513496e-226,< 0.001
Typha spp.,emersed,intercept,1.292,0.077,16.795,2.6439765955751555e-63,< 0.001
Utricularia floridana,submersed,intercept,-1.356,0.077,-17.526,9.127091502120416e-69,< 0.001
Utricularia foliosa,submersed,intercept,-1.251,0.054,-23.031,2.27250518258934e-117,< 0.001
Utricularia gibba,submersed,intercept,-1.032,0.053,-19.546,4.487794292676314e-85,< 0.001
Utricularia inflata,submersed,intercept,-2.756,0.089,-30.916,7.302013910743258e-210,< 0.001
Utricularia purpurea,submersed,intercept,-1.655,0.072,-22.974,8.537508386725066e-117,< 0.001
Vallisneria americana,submersed,intercept,-1.304,0.057,-22.781,7.1200271936814825e-115,< 0.001
Azolla caroliniana,floating,hydrilla,0.04,0.004,11.443,2.5387971925733614e-30,< 0.001
Bacopa caroliniana,emersed,hydrilla,0.035,0.003,11.347,7.675156003883984e-30,< 0.001
Bacopa monnieri,emersed,hydrilla,-0.028,0.005,-5.735,9.755783739515788e-9,< 0.001
Bidens spp.,emersed,hydrilla,0.039,0.003,11.527,9.677658091239815e-31,< 0.001
Brasenia schreberi,emersed,hydrilla,0.006,0.007,0.781,0.4348654765402373,≥ 0.1
Cabomba caroliniana,submersed,hydrilla,0.013,0.004,3.629,2.8477792446534835e-4,< 0.001
Carex spp.,emersed,hydrilla,0.035,0.003,10.268,9.847225027804495e-25,< 0.001
Cephalanthus occidentalis,emersed,hydrilla,0.011,0.003,3.185,0.0014492354434685621,< 0.01
Ceratophyllum demersum,submersed,hydrilla,0.041,0.004,9.769,1.528491252854334e-22,< 0.001
Chara spp.,submersed,hydrilla,0.007,0.003,2.193,0.028336295064883804,< 0.05
Cicuta maculata,emersed,hydrilla,0.006,0.004,1.747,0.08070625783885298,< 0.1
Cladium jamaicense,emersed,hydrilla,0.007,0.003,2.491,0.01272095461265269,< 0.05
Crinum americanum,emersed,hydrilla,-0.019,0.006,-3.357,7.891621324398938e-4,< 0.001
Cyperus articulatus,emersed,hydrilla,0.036,0.004,9.921,3.3718215704957166e-23,< 0.001
Cyperus spp. (other natives),emersed,hydrilla,0.002,0.003,0.651,0.515198773596824,≥ 0.1
Decodon verticillatus,emersed,hydrilla,0.019,0.004,5.191,2.0932636750216754e-7,< 0.001
Echinochloa spp.,emersed,hydrilla,0.009,0.003,3.016,0.002559374665762043,< 0.01
"Eleocharis spp., emersed",emersed,hydrilla,0,0.003,0.144,0.8856143291184332,≥ 0.1
"Eleocharis spp., sub/floating",submersed,hydrilla,0.011,0.003,3.855,1.1561332892665702e-4,< 0.001
Fuirena spp.,emersed,hydrilla,0.003,0.004,0.699,0.4845410611668396,≥ 0.1
Hydrocotyle spp.,emersed,hydrilla,0.017,0.008,2.045,0.04083668494548861,< 0.05
Hypericum spp.,emersed,hydrilla,0.005,0.006,0.818,0.4135008087196935,≥ 0.1
Juncus effusus,emersed,hydrilla,0.027,0.003,8.532,1.432481031713927e-17,< 0.001
Leersia hexandra,emersed,hydrilla,0.023,0.003,7.213,5.460855314245492e-13,< 0.001
Lemna/Spirodela spp.,floating,hydrilla,0.011,0.004,3.141,0.001686340773719728,< 0.01
Limnobium spongia,floating,hydrilla,0.053,0.004,14.169,1.428031462449041e-45,< 0.001
Ludwigia palustris/repens,emersed,hydrilla,0.015,0.004,3.87,1.0899275201763274e-4,< 0.001
Luziola fluitans,submersed,hydrilla,0.034,0.003,10.797,3.540538543788318e-27,< 0.001
Mayaca fluviatilis,submersed,hydrilla,-0.121,0.022,-5.555,2.7724829654777998e-8,< 0.001
Micranthemum glomeratum,submersed,hydrilla,-0.01,0.004,-2.309,0.02095206934761338,< 0.05
Micranthemum umbrosum,emersed,hydrilla,0.008,0.005,1.693,0.09037591720538779,< 0.1
Myriophyllum laxum/pinnatum,submersed,hydrilla,-0.082,0.022,-3.817,1.351359279787775e-4,< 0.001
Najas guadalupensis,submersed,hydrilla,0.004,0.003,1.277,0.2016413800246472,≥ 0.1
Nelumbo lutea,emersed,hydrilla,0.044,0.004,11.657,2.108243835108238e-31,< 0.001
Nitella spp.,submersed,hydrilla,0.008,0.004,2.187,0.028754213535045793,< 0.05
Nuphar advena,emersed,hydrilla,0.003,0.004,0.603,0.546601437961729,≥ 0.1
Nymphaea mexicana,emersed,hydrilla,0.025,0.003,7.691,1.461941150105981e-14,< 0.001
Nymphaea odorata,emersed,hydrilla,0.026,0.004,6.842,7.81242650513122e-12,< 0.001
Nymphoides aquatica,emersed,hydrilla,0.032,0.003,9.857,6.394145466093914e-23,< 0.001
Panicum hemitomon,emersed,hydrilla,0.005,0.004,1.158,0.24698349402755998,≥ 0.1
Paspalidium geminatum,emersed,hydrilla,-0.021,0.003,-6.625,3.464415627247885e-11,< 0.001
Paspalum repens,emersed,hydrilla,0.035,0.004,9.869,5.648957934698406e-23,< 0.001
Peltandra spp.,emersed,hydrilla,0.013,0.004,3.545,3.925138282236911e-4,< 0.001
Phragmites australis,emersed,hydrilla,-0.02,0.005,-3.822,1.3230732003387602e-4,< 0.001
Pontederia cordata,emersed,hydrilla,0.016,0.006,2.498,0.012500961265030098,< 0.05
Potamogeton illinoensis,submersed,hydrilla,0.023,0.003,6.91,4.8587562323382836e-12,< 0.001
Rhynchospora spp.,emersed,hydrilla,0.03,0.003,9.612,7.123790986458364e-22,< 0.001
Sacciolepis striata,emersed,hydrilla,0.011,0.003,3.659,2.5306012982664026e-4,< 0.001
Sagittaria lancifolia,emersed,hydrilla,-0.012,0.004,-2.999,0.002710570582052637,< 0.01
Sagittaria latifolia,emersed,hydrilla,0.052,0.004,13.262,3.835675442459062e-40,< 0.001
Sagittaria subulata/graminea/gracillima,emersed,hydrilla,0.023,0.003,6.852,7.265008834363827e-12,< 0.001
Salix spp.,emersed,hydrilla,0.02,0.009,2.289,0.022090409855137428,< 0.05
Saururus cernuus,emersed,hydrilla,0.033,0.003,10.465,1.2540290361829725e-25,< 0.001
Spartina bakeri,emersed,hydrilla,0.012,0.003,4.194,2.735072435936437e-5,< 0.001
Thalia geniculata,emersed,hydrilla,0.014,0.003,4.617,3.891663989521123e-6,< 0.001
Typha spp.,emersed,hydrilla,0.026,0.013,1.98,0.04771392544492254,< 0.05
Utricularia floridana,submersed,hydrilla,-0.029,0.012,-2.323,0.020202404894978952,< 0.05
Utricularia foliosa,submersed,hydrilla,0.023,0.003,7.614,2.6532859040093292e-14,< 0.001
Utricularia gibba,submersed,hydrilla,0.022,0.003,7.597,3.021479157175743e-14,< 0.001
Utricularia inflata,submersed,hydrilla,0.023,0.003,6.47,9.781119662313802e-11,< 0.001
Utricularia purpurea,submersed,hydrilla,0.012,0.005,2.383,0.017152519590506336,< 0.05
Vallisneria americana,submersed,hydrilla,-0.006,0.004,-1.59,0.11175616197032519,≥ 0.1
Azolla caroliniana,floating,water hyacinth,0.088,0.039,2.24,0.025060345501870404,< 0.05
Bacopa caroliniana,emersed,water hyacinth,-0.356,0.057,-6.268,3.6645413515711037e-10,< 0.001
Bacopa monnieri,emersed,water hyacinth,-0.185,0.051,-3.621,2.932796917546889e-4,< 0.001
Bidens spp.,emersed,water hyacinth,-0.259,0.038,-6.86,6.8695075696301306e-12,< 0.001
Brasenia schreberi,emersed,water hyacinth,-0.281,0.082,-3.406,6.599720990487468e-4,< 0.001
Cabomba caroliniana,submersed,water hyacinth,-0.072,0.052,-1.368,0.17132758630348188,≥ 0.1
Carex spp.,emersed,water hyacinth,0.047,0.05,0.947,0.34340734487853936,≥ 0.1
Cephalanthus occidentalis,emersed,water hyacinth,-0.038,0.036,-1.043,0.2969888299414805,≥ 0.1
Ceratophyllum demersum,submersed,water hyacinth,-0.019,0.036,-0.531,0.5951673339411154,≥ 0.1
Chara spp.,submersed,water hyacinth,-0.304,0.069,-4.403,1.0666783530222883e-5,< 0.001
Cicuta maculata,emersed,water hyacinth,-0.295,0.065,-4.5,6.785841312134145e-6,< 0.001
Cladium jamaicense,emersed,water hyacinth,-0.434,0.044,-9.873,5.456820625516643e-23,< 0.001
Crinum americanum,emersed,water hyacinth,-0.172,0.066,-2.603,0.009232446026699806,< 0.01
Cyperus articulatus,emersed,water hyacinth,0.23,0.042,5.419,5.987215930353471e-8,< 0.001
Cyperus spp. (other natives),emersed,water hyacinth,-0.05,0.033,-1.542,0.12296745100923169,≥ 0.1
Decodon verticillatus,emersed,water hyacinth,-0.239,0.055,-4.363,1.2822489823124078e-5,< 0.001
Echinochloa spp.,emersed,water hyacinth,0.058,0.036,1.641,0.10086599829134477,≥ 0.1
"Eleocharis spp., emersed",emersed,water hyacinth,-0.196,0.038,-5.168,2.3605933075524538e-7,< 0.001
"Eleocharis spp., sub/floating",submersed,water hyacinth,-0.23,0.032,-7.093,1.3078606249878579e-12,< 0.001
Fuirena spp.,emersed,water hyacinth,-1.483,0.118,-12.559,3.550806826658918e-36,< 0.001
Hydrocotyle spp.,emersed,water hyacinth,-0.247,0.04,-6.214,5.173773884710681e-10,< 0.001
Hypericum spp.,emersed,water hyacinth,-0.656,0.092,-7.12,1.0827306269581105e-12,< 0.001
Juncus effusus,emersed,water hyacinth,-0.095,0.036,-2.659,0.007847444405965383,< 0.01
Leersia hexandra,emersed,water hyacinth,-0.201,0.042,-4.787,1.6964323586857981e-6,< 0.001
Lemna/Spirodela spp.,floating,water hyacinth,0.167,0.037,4.505,6.650862169670493e-6,< 0.001
Limnobium spongia,floating,water hyacinth,0.018,0.038,0.473,0.6364991108820637,≥ 0.1
Ludwigia palustris/repens,emersed,water hyacinth,-0.226,0.064,-3.557,3.7487465117886807e-4,< 0.001
Luziola fluitans,submersed,water hyacinth,-0.275,0.047,-5.841,5.17535643406424e-9,< 0.001
Mayaca fluviatilis,submersed,water hyacinth,-1.994,0.278,-7.166,7.698673924621998e-13,< 0.001
Micranthemum glomeratum,submersed,water hyacinth,-0.39,0.093,-4.189,2.7972984359821806e-5,< 0.001
Micranthemum umbrosum,emersed,water hyacinth,-0.316,0.101,-3.138,0.0017031256270247054,< 0.01
Myriophyllum laxum/pinnatum,submersed,water hyacinth,-2.354,0.361,-6.528,6.652578581064663e-11,< 0.001
Najas guadalupensis,submersed,water hyacinth,-0.309,0.049,-6.299,3.002932267652904e-10,< 0.001
Nelumbo lutea,emersed,water hyacinth,0.046,0.038,1.197,0.23133751230893418,≥ 0.1
Nitella spp.,submersed,water hyacinth,-0.359,0.087,-4.104,4.0551688898271245e-5,< 0.001
Nuphar advena,emersed,water hyacinth,-0.424,0.036,-11.868,1.740281122161785e-32,< 0.001
Nymphaea mexicana,emersed,water hyacinth,0.147,0.045,3.248,0.0011628415368948467,< 0.01
Nymphaea odorata,emersed,water hyacinth,-0.463,0.043,-10.688,1.1529215749258772e-26,< 0.001
Nymphoides aquatica,emersed,water hyacinth,-0.751,0.091,-8.228,1.9000186369924424e-16,< 0.001
Panicum hemitomon,emersed,water hyacinth,-0.27,0.035,-7.818,5.3794659494826214e-15,< 0.001
Paspalidium geminatum,emersed,water hyacinth,-0.532,0.055,-9.66,4.473188024541008e-22,< 0.001
Paspalum repens,emersed,water hyacinth,0.179,0.043,4.203,2.6386843476694754e-5,< 0.001
Peltandra spp.,emersed,water hyacinth,-0.47,0.081,-5.794,6.879518179786935e-9,< 0.001
Phragmites australis,emersed,water hyacinth,0.22,0.04,5.532,3.1650463080359016e-8,< 0.001
Pontederia cordata,emersed,water hyacinth,-0.449,0.036,-12.52,5.804837501864702e-36,< 0.001
Potamogeton illinoensis,submersed,water hyacinth,-0.714,0.093,-7.651,1.9911300234447858e-14,< 0.001
Rhynchospora spp.,emersed,water hyacinth,-0.291,0.05,-5.803,6.513146054836642e-9,< 0.001
Sacciolepis striata,emersed,water hyacinth,-0.17,0.034,-5.065,4.0765137555146476e-7,< 0.001
Sagittaria lancifolia,emersed,water hyacinth,-0.368,0.038,-9.731,2.22699874203192e-22,< 0.001
Sagittaria latifolia,emersed,water hyacinth,-0.327,0.052,-6.296,3.059858450998523e-10,< 0.001
Sagittaria subulata/graminea/gracillima,emersed,water hyacinth,-0.374,0.08,-4.659,3.1699168891654324e-6,< 0.001
Salix spp.,emersed,water hyacinth,0.012,0.05,0.232,0.8164835140120215,≥ 0.1
Saururus cernuus,emersed,water hyacinth,-0.324,0.061,-5.298,1.171252550529797e-7,< 0.001
Spartina bakeri,emersed,water hyacinth,-0.421,0.048,-8.833,1.015979509579406e-18,< 0.001
Thalia geniculata,emersed,water hyacinth,0.192,0.037,5.169,2.3569399571258457e-7,< 0.001
Typha spp.,emersed,water hyacinth,-0.183,0.044,-4.139,3.4926679352936465e-5,< 0.001
Utricularia floridana,submersed,water hyacinth,-0.994,0.188,-5.293,1.2028479087576952e-7,< 0.001
Utricularia foliosa,submersed,water hyacinth,-0.328,0.048,-6.889,5.636501882397151e-12,< 0.001
Utricularia gibba,submersed,water hyacinth,-0.226,0.042,-5.374,7.696338122112678e-8,< 0.001
Utricularia inflata,submersed,water hyacinth,-0.369,0.092,-4.001,6.317567238583813e-5,< 0.001
Utricularia purpurea,submersed,water hyacinth,-1.061,0.151,-7.014,2.314920290260535e-12,< 0.001
Vallisneria americana,submersed,water hyacinth,-0.178,0.046,-3.86,1.1317519317975003e-4,< 0.001
Azolla caroliniana,floating,water lettuce,0.003,0.041,0.069,0.9451682311814109,≥ 0.1
Bacopa caroliniana,emersed,water lettuce,-0.463,0.078,-5.939,2.8671263969315432e-9,< 0.001
Bacopa monnieri,emersed,water lettuce,0.139,0.047,2.977,0.0029146022169247725,< 0.01
Bidens spp.,emersed,water lettuce,0.288,0.041,6.999,2.5855163586015075e-12,< 0.001
Brasenia schreberi,emersed,water lettuce,-0.926,0.237,-3.902,9.524076872740879e-5,< 0.001
Cabomba caroliniana,submersed,water lettuce,-0.379,0.084,-4.508,6.553668329422624e-6,< 0.001
Carex spp.,emersed,water lettuce,0.1,0.05,1.983,0.04734659630912059,< 0.05
Cephalanthus occidentalis,emersed,water lettuce,0.035,0.045,0.786,0.4320886704579608,≥ 0.1
Ceratophyllum demersum,submersed,water lettuce,0.328,0.044,7.524,5.3291339036831314e-14,< 0.001
Chara spp.,submersed,water lettuce,-0.026,0.065,-0.395,0.6925732453137033,≥ 0.1
Cicuta maculata,emersed,water lettuce,0.607,0.051,12.003,3.42766218061927e-33,< 0.001
Cladium jamaicense,emersed,water lettuce,0.345,0.042,8.15,3.6251329509535183e-16,< 0.001
Crinum americanum,emersed,water lettuce,0.301,0.051,5.873,4.2875874170384136e-9,< 0.001
Cyperus articulatus,emersed,water lettuce,0.126,0.045,2.822,0.004773914229345172,< 0.01
Cyperus spp. (other natives),emersed,water lettuce,0.059,0.04,1.478,0.13942596727964085,≥ 0.1
Decodon verticillatus,emersed,water lettuce,0.167,0.046,3.648,2.6385232545898243e-4,< 0.001
Echinochloa spp.,emersed,water lettuce,0.244,0.038,6.419,1.3739781520886489e-10,< 0.001
"Eleocharis spp., emersed",emersed,water lettuce,-0.248,0.046,-5.425,5.800571721213811e-8,< 0.001
"Eleocharis spp., sub/floating",submersed,water lettuce,-0.225,0.038,-5.928,3.0618346901144197e-9,< 0.001
Fuirena spp.,emersed,water lettuce,-2.641,0.245,-10.796,3.578254266879915e-27,< 0.001
Hydrocotyle spp.,emersed,water lettuce,0.087,0.064,1.356,0.1749554239745818,≥ 0.1
Hypericum spp.,emersed,water lettuce,0.046,0.065,0.707,0.47957147748600165,≥ 0.1
Juncus effusus,emersed,water lettuce,-0.13,0.04,-3.242,0.0011866601942549621,< 0.01
Leersia hexandra,emersed,water lettuce,0.301,0.041,7.418,1.1858121289104065e-13,< 0.001
Lemna/Spirodela spp.,floating,water lettuce,0.716,0.081,8.872,7.179641023917895e-19,< 0.001
Limnobium spongia,floating,water lettuce,0.188,0.039,4.84,1.2965796279629504e-6,< 0.001
Ludwigia palustris/repens,emersed,water lettuce,0.131,0.053,2.461,0.013853732296271966,< 0.05
Luziola fluitans,submersed,water lettuce,-0.443,0.063,-6.985,2.8456191100001374e-12,< 0.001
Micranthemum glomeratum,submersed,water lettuce,-0.606,0.129,-4.686,2.785000229550886e-6,< 0.001
Micranthemum umbrosum,emersed,water lettuce,-1.626,0.288,-5.643,1.6706145271155956e-8,< 0.001
Najas guadalupensis,submersed,water lettuce,0.255,0.043,5.906,3.5083334927275363e-9,< 0.001
Nelumbo lutea,emersed,water lettuce,-0.421,0.055,-7.717,1.1922044185691604e-14,< 0.001
Nitella spp.,submersed,water lettuce,-1.115,0.211,-5.295,1.1909893499488232e-7,< 0.001
Nuphar advena,emersed,water lettuce,0.048,0.047,1.011,0.3120731746140849,≥ 0.1
Nymphaea mexicana,emersed,water lettuce,0.188,0.045,4.195,2.7244979756926246e-5,< 0.001
Nymphaea odorata,emersed,water lettuce,-0.383,0.05,-7.665,1.7822661227531584e-14,< 0.001
Nymphoides aquatica,emersed,water lettuce,-1.196,0.16,-7.492,6.791292296815762e-14,< 0.001
Panicum hemitomon,emersed,water lettuce,-0.209,0.04,-5.179,2.228695087977829e-7,< 0.001
Paspalidium geminatum,emersed,water lettuce,0.302,0.047,6.406,1.4936925562694897e-10,< 0.001
Paspalum repens,emersed,water lettuce,0.315,0.041,7.659,1.8728985328166253e-14,< 0.001
Peltandra spp.,emersed,water lettuce,0.129,0.054,2.366,0.017960034979044512,< 0.05
Phragmites australis,emersed,water lettuce,0.544,0.043,12.586,2.532122131355579e-36,< 0.001
Pontederia cordata,emersed,water lettuce,-0.218,0.043,-5.093,3.515869309622223e-7,< 0.001
Potamogeton illinoensis,submersed,water lettuce,0,0.066,0.004,0.9969690302893737,≥ 0.1
Rhynchospora spp.,emersed,water lettuce,0.24,0.042,5.659,1.5192761659069668e-8,< 0.001
Sacciolepis striata,emersed,water lettuce,0.191,0.043,4.467,7.92610301145656e-6,< 0.001
Sagittaria lancifolia,emersed,water lettuce,0.018,0.042,0.422,0.6727570478779112,≥ 0.1
Sagittaria latifolia,emersed,water lettuce,0.315,0.045,6.974,3.0861689969222655e-12,< 0.001
Sagittaria subulata/graminea/gracillima,emersed,water lettuce,-0.375,0.092,-4.074,4.622147205443558e-5,< 0.001
Salix spp.,emersed,water lettuce,-0.103,0.061,-1.67,0.09486055507718186,< 0.1
Saururus cernuus,emersed,water lettuce,0.041,0.051,0.792,0.4281591064350077,≥ 0.1
Spartina bakeri,emersed,water lettuce,0.376,0.044,8.621,6.6409399528814086e-18,< 0.001
Thalia geniculata,emersed,water lettuce,0.357,0.04,8.972,2.9024154714682567e-19,< 0.001
Typha spp.,emersed,water lettuce,-0.089,0.066,-1.351,0.17670055395820936,≥ 0.1
Utricularia floridana,submersed,water lettuce,-0.186,0.168,-1.108,0.26795377179713104,≥ 0.1
Utricularia foliosa,submersed,water lettuce,0.178,0.041,4.29,1.785984034467753e-5,< 0.001
Utricularia gibba,submersed,water lettuce,0.012,0.041,0.298,0.7654288470021297,≥ 0.1
Utricularia inflata,submersed,water lettuce,-0.032,0.073,-0.434,0.6644432101046998,≥ 0.1
Utricularia purpurea,submersed,water lettuce,-0.48,0.133,-3.594,3.26072411063504e-4,< 0.001
Vallisneria americana,submersed,water lettuce,0.081,0.047,1.74,0.08192331130242851,< 0.1
Azolla caroliniana,floating,hydrilla treat.,-0.371,0.135,-2.749,0.005985168230173243,< 0.01
Bacopa caroliniana,emersed,hydrilla treat.,-0.763,0.116,-6.566,5.153294021961203e-11,< 0.001
Bacopa monnieri,emersed,hydrilla treat.,0.865,0.113,7.659,1.8705361347664092e-14,< 0.001
Bidens spp.,emersed,hydrilla treat.,-1.283,0.105,-12.237,1.9645989826291452e-34,< 0.001
Brasenia schreberi,emersed,hydrilla treat.,-1.881,0.212,-8.863,7.786020457611732e-19,< 0.001
Cabomba caroliniana,submersed,hydrilla treat.,-0.282,0.139,-2.034,0.04191670175892391,< 0.05
Carex spp.,emersed,hydrilla treat.,-0.133,0.169,-0.784,0.4330472284335549,≥ 0.1
Cephalanthus occidentalis,emersed,hydrilla treat.,-0.974,0.102,-9.563,1.14788736689402e-21,< 0.001
Ceratophyllum demersum,submersed,hydrilla treat.,1.268,0.1,12.658,1.0044137460304482e-36,< 0.001
Chara spp.,submersed,hydrilla treat.,1.483,0.12,12.36,4.276492703204404e-35,< 0.001
Cicuta maculata,emersed,hydrilla treat.,0.726,0.146,4.978,6.426754667861869e-7,< 0.001
Cladium jamaicense,emersed,hydrilla treat.,0.302,0.094,3.216,0.0012991346930464733,< 0.01
Crinum americanum,emersed,hydrilla treat.,0.998,0.151,6.615,3.7243825267950584e-11,< 0.001
Cyperus articulatus,emersed,hydrilla treat.,-0.711,0.193,-3.692,2.2288857339078277e-4,< 0.001
Cyperus spp. (other natives),emersed,hydrilla treat.,0.532,0.102,5.201,1.978686886873134e-7,< 0.001
Decodon verticillatus,emersed,hydrilla treat.,-1.27,0.155,-8.203,2.33750287307306e-16,< 0.001
Echinochloa spp.,emersed,hydrilla treat.,0.34,0.109,3.122,0.0017936148387503919,< 0.01
"Eleocharis spp., emersed",emersed,hydrilla treat.,1.169,0.096,12.167,4.683022969849147e-34,< 0.001
"Eleocharis spp., sub/floating",submersed,hydrilla treat.,-0.932,0.096,-9.738,2.0734737678821016e-22,< 0.001
Fuirena spp.,emersed,hydrilla treat.,0.062,0.1,0.623,0.5330327057306027,≥ 0.1
Hydrocotyle spp.,emersed,hydrilla treat.,1.385,0.199,6.945,3.780349185324997e-12,< 0.001
Hypericum spp.,emersed,hydrilla treat.,-2.77,0.196,-14.107,3.4377146860530756e-45,< 0.001
Juncus effusus,emersed,hydrilla treat.,-0.341,0.102,-3.348,8.149143287199632e-4,< 0.001
Leersia hexandra,emersed,hydrilla treat.,-1.659,0.133,-12.509,6.656625766750567e-36,< 0.001
Lemna/Spirodela spp.,floating,hydrilla treat.,0.298,0.099,3.024,0.0024951494758248443,< 0.01
Limnobium spongia,floating,hydrilla treat.,-1.193,0.14,-8.521,1.5828153310301497e-17,< 0.001
Ludwigia palustris/repens,emersed,hydrilla treat.,-0.115,0.149,-0.769,0.4418804235884759,≥ 0.1
Luziola fluitans,submersed,hydrilla treat.,-1.56,0.121,-12.885,5.45482113405555e-38,< 0.001
Mayaca fluviatilis,submersed,hydrilla treat.,-1.161,0.201,-5.778,7.570143410690181e-9,< 0.001
