Lake_FWC,County_FWC,AnyCtrl,FWCPlantStart
BEAR,SANTA ROSA,0,1982-09-23
BOILING CREEK,SANTA ROSA,0,1983-10-27
ESCAMBIA RIVER,SANTA ROSA,0,1983-10-26
YELLOW RIVER,SANTA ROSA,0,1982-09-24
BLACK,SUMTER,0,1982-04-07
BLUE SPRING,TAYLOR,0,1999-10-22
FENHOLLOWAY RIVER,TAYLOR,0,1982-09-28
STEINHATCHEE RIVER,TAYLOR,0,1982-09-27
FISHER,UNION,0,1983-03-09
BERESFORD,VOLUSIA,0,1986-09-19
GEORGE,VOLUSIA,0,1982-10-12
GOPHER SLOUGH,VOLUSIA,0,1982-10-12
SPRING GARDEN,VOLUSIA,0,1988-09-13
TICK ISLAND MUD,VOLUSIA,0,1986-09-04
ELLEN,WAKULLA,0,1982-09-09
OCHLOCKONEE RIVER,WAKULLA,0,1982-08-20
OTTER,WAKULLA,0,1982-09-09
SOPCHOPPY RIVER,WAKULLA,0,1982-08-20
JACKSON,WALTON,0,1982-10-27
STANLEY,WALTON,0,1982-10-28
GAP POND,WASHINGTON,0,1982-09-29
HOLMES CREEK,WASHINGTON,0,1982-08-03
PATE,WASHINGTON,0,1982-10-28
