AreaOfInterestID,longitude,latitude,AreaOfInterest
194,-81.7449,28.0239,"Howard, Lake"
445,-81.36235,27.89514,"Tiger, Lake"
286,-81.73687,28.01537,"May, Lake"
52,-81.6627,27.80145,"Buffum, Lake"
141,-81.6898,28.0593,"Fannie, Lake"
631,-81.5925,27.893889,Twin Lakes
439,-81.9147,28.0982,Tenoroc Pits
172,-81.6526,28.0493,"Hamilton, Lake"
19,-81.41281,27.71198,"Arbuckle, Lake"
280,-81.52847,28.06153,"Marion, Lake"
368,-81.7218,28.073,"Rochelle, Lake"
125,-81.7345,28.0829,"Echo, Lake"
253,-81.519167,27.685278,"Livingston, Lake"
174,-81.8381,27.9688,"Hancock, Lake"
342,-81.92815,28.05201,"Parker, Lake"
203,-81.7565,28.0504,"Idylwild, Lake"
25,-81.9036,27.9788,Banana Lake
152,-81.730833,27.903333,"Garfield, Lake"
160,-81.9619,28.1098,"Gibson, Lake"
284,-81.77357,28.13736,"Mattie, Lake"
80,-81.72123,28.06023,"Conine, Lake"
447,-81.633889,28.110556,"Tracy, Lake"
627,-81.966111,27.921667,Carter Road
432,-81.7256,28.1027,Swoope Lake
106,-81.7658,28.02458,Deer Lake
168,-81.7082,28.0919,"Haines, Lake"
154,-81.686396,27.841477,"Gator, Lake"
180,-81.41921,28.02531,"Hatchineha, Lake"
302,-81.73911,28.03996,"Mirror, Lake"
404,-81.728333,28.031944,"Silver, Lake"
279,-81.7649,28.0766,"Mariana, Lake"
412,-81.73582,28.03875,"Spring, Lake"
315,-81.67018,27.99799,"Ned, Lake"
390,-81.774,28.0077,"Sears, Lake"
197,-81.96444,28.0362,"Hunter, Lake"
405,-81.71649,28.06203,Smart Lake
441,-81.77983,28.01093,"Thomas, Lake"
629,-81.705833,28.017778,Link Lake
630,-81.711111,28.016389,Otis Lake
427,-81.69504,27.83515,"Surveyors, Lake"
475,-81.39923,27.81686,"Weohyakapka, Lake"
628,-81.778333,27.989722,Grassy Lake
130,-81.7099,28.0266,"Elbert, Lake"
238,-81.813,28.06806,"Lena, Lake"
214,-81.764,28.0584,"Jessie, Lake"
51,-81.7061,28.0403,Buckeye Lake
179,-81.7433,28.0558,"Hartridge, Lake"
193,-82.615779,28.787308,Homosassa River
327,-80.8149,26.953048,"Okeechobee, Lake"
357,-81.907899,30.306188,Pope Duval East FMA
358,-81.923173,30.304777,Pope Duval West FMA
220,-81.43315,27.38819,Josephine Creek
8,-82.632367,30.175,Alligator Lake
375,-82.159,29.9225,Rowell Lake
305,-82.644,30.18555,Montgomery Lake FMA
92,-82.1537,29.950083,Crosby Lake
56,-82.338599,30.034548,"Butler, Lake"
135,-81.7046,27.9842,"Eloise, Lake"
484,-81.6819,27.9746,"Winterset, Lake"
216,-81.93996,27.99842,"John Wood, Lake"
46,-81.9253,28.0378,"Bonny, Lake"
