AOI,Lake,longitude,latitude
Rochelle,Rochelle,-81.72007134296683,28.072921987537324
Rodman,Rodman Reservoir,-81.8618032483374,29.51362818722654
Sampson,Sampson,-82.18731519195886,29.92793768146915
Sarah,Sarah,-81.40270673555555,28.58541534703704
Seminole,Seminole,-82.77887634905765,27.863495188318424
Sheen,Sheen,-81.520747236572,28.431815404618664
Shipp,Shipp,-81.74231977379239,28.002512234930112
SouthConway,South Conway,-81.34801285007904,28.45904451817617
Starke,Starke/Prima Vista,-81.53644302742858,28.570677114035714
Swoope,Swoope,-81.72554335442906,28.10163498647059
Tarpon,Tarpon,-82.72244687967095,28.117255434527873
Tibet,Tibet,-81.52437537115573,28.455356783771943
Tohopekaliga,Tohopekaliga,-81.3807833231727,28.20928028902223
Trafford,Trafford,-81.4937332814573,26.422661122131156
Virginia,Virginia,-81.34422462880711,28.588589150152284
Weir,Weir,-81.94239949931885,29.01372242671862
Weohyakapka,Weohyakapka,-81.41361537055529,27.82108906826676
Yale,Yale,-81.7351617813939,28.911491537025512
