PERIMETER,NAME,COUNTY,OBJECTID,SHAPEAREA,SHAPELEN
633.8280852,Cypress Pond,MADISON,139,23928.85485,633.8286944
2582.124554,Grassy Pond,MADISON,140,195966.7603,2582.125102
1560.192324,Luke Lake,LAFAYETTE,141,72502.70908,1560.19154
1754.681353,Winburn Lake,LAFAYETTE,142,53170.08187,1754.681106
2160.522983,Long Pond,LAFAYETTE,143,112032.9236,2160.522376
1047.161383,Bell Lake,LAFAYETTE,144,22334.04533,1047.162295
220.978115,Dempsey Lake,SUWANNEE,145,3607.788184,220.9784779
339.1727249,Thompson Lake,DIXIE,146,5577.047045,339.1731165
896.1890133,Sears Lake,LAFAYETTE,147,30594.97761,896.1889956
209.3106678,Dixon Lake,DIXIE,148,2922.014848,209.3106864
3902.71819,Pippin Lake,OKALOOSA,149,246110.3648,3902.718057
621.1608728,Faircloth Lakes,OKALOOSA,150,15044.79423,621.1613709
2093.439923,Fuller Lake,WALTON,151,187591.9592,2093.439784
5800.58109,Lake Jackson,WALTON,152,1681321.01,5800.582086
3026.359624,Sevenmile Lake,GILCHRIST,153,101380.7333,3026.3628
781.861583,Goose Pond,GILCHRIST,154,11897.38009,781.8624975
363.3556509,Half Moon Pond,GILCHRIST,155,6845.425888,363.3555317
946.5930636,Deer Pond,GILCHRIST,156,63453.21167,946.5929449
1231.568879,Hobart Lake,PINELLAS,157,49641.62456,1231.568898
1383.331693,Threemile Lake,GILCHRIST,158,100783.3251,1383.331183
2075.531146,Long Pond,COLUMBIA,159,223509.8712,2075.53054
278.4203259,Bell Prairie,COLUMBIA,160,5678.720558,278.4203678
3726.741599,Weeks Waterhole,GILCHRIST,161,267528.8031,3726.74051
630.1474846,Pasadena Lake,PINELLAS,162,21282.55545,630.1473792
2560.173231,Christmas Lake,GILCHRIST,163,170227.3863,2560.172224
1542.303514,Gar Pond,COLUMBIA,164,105692.0168,1542.30339
1550.273676,Brown Lake,HAMILTON,165,98507.29352,1550.273941
225.9595238,Lake Disston,PINELLAS,166,3782.438998,225.959331
1246.438504,Sawgrass Lake,PINELLAS,167,78973.55151,1246.439386
665.4996841,Scout Lake,PASCO,168,31653.48689,665.4998688
1019.941812,Dicks Lake,COLUMBIA,169,33177.34481,1019.940572
1023.815609,Clear Pond,GILCHRIST,170,58225.78807,1023.815737
5767.985508,Lake Maggiore,PINELLAS,171,1467834.438,5767.986421
225.2129811,Round Lake,PINELLAS,172,3909.171847,225.2128422
3099.41041,Lake Taylor,HILLSBOROUGH,173,191384.4314,3099.409344
3138.619181,Lake Rogers,HILLSBOROUGH,174,379454.4721,3138.618586
1416.009927,Velburton Lake,HILLSBOROUGH,175,103562.0704,1416.009988
1158.144131,Rock Lake,PASCO,176,71225.16646,1158.143268
432.0771177,Sage Pond,LEVY,177,13640.39294,432.0771537
8892.242825,Lake John,POLK,178,398980.945,8892.245419
1682.391351,Gillis Pond,PUTNAM,179,174098.1019,1682.391119
1771.792677,Higginbotham Lake,PUTNAM,180,205302.8541,1771.792719
3196.05478,Bonny Lake,POLK,181,125795.9278,3196.055154
1103.831235,Waterview Lake,POLK,182,30397.21784,1103.832036
3116.226329,Ladys-Slipper Lake,PUTNAM,183,286549.8074,3116.227053
1186.555456,Lake Holloway,POLK,184,100506.4093,1186.555915
439.5182945,Lagoon Lake,POLK,185,9028.181279,439.5184025
388.7360707,Lake Hattie,LAKE,186,11708.5033,388.7361917
484.5301452,Lake Alice,LAKE,187,18101.38004,484.529756
7467.174587,Lake Carroll,HILLSBOROUGH,188,818905.4181,7467.172366
2254.891667,Saddleback Lake,HILLSBOROUGH,189,126997.4517,2254.891268
1335.980471,Twin Lake,HILLSBOROUGH,190,103666.2656,1335.98092
2138.313926,Platt Lake,HILLSBOROUGH,191,252805.744,2138.314163
1529.163059,Lake Allen,HILLSBOROUGH,192,98394.0288,1529.163323
2430.927656,Section Sixteen Lake,MARION,193,203763.9915,2430.927467
517.7266864,Dorset Lake,HILLSBOROUGH,194,14746.52749,517.7266629
1559.3439,Lake All Bright,HILLSBOROUGH,195,47094.29959,1559.343525
2082.393895,Chapman Lake,HILLSBOROUGH,196,168822.2451,2082.39372
2520.122536,Cooper Lake,HILLSBOROUGH,197,314229.9353,2520.122364
1200.451621,Como Lake,PASCO,198,100076.5444,1200.451119
2704.876278,Vienna Lake,PASCO,199,83449.18754,2704.877842
1723.178081,Bay Lake,PASCO,200,159942.3203,1723.177553
1254.153271,Cool Kell Lake,HILLSBOROUGH,201,51647.70876,1254.152909
1316.042896,Lake Joyce,PASCO,202,78089.93775,1316.043307
1533.290156,Curve Lake,PASCO,203,105847.8906,1533.290761
1197.282191,Buck Pond,MARION,204,73806.25565,1197.282339
334.1834813,Mooney Pond,LEVY,205,7894.744306,334.1829231
5647.604791,Turner Lake,MARION,206,583713.5861,5647.605915
876.4321039,Pine Lake,HILLSBOROUGH,207,33802.67331,876.4323173
277.5476424,Lead Pond,MARION,208,4469.973619,277.5476792
1038.049201,Lake Ibis,SARASOTA,209,52031.67918,1038.049331
948.9437696,Lake Jo Ann,PASCO,210,51881.6364,948.9441464
1889.285582,Gooseneck Lake,PASCO,211,104649.023,1889.285478
3374.656036,Stafford Lake,HERNANDO,212,304397.7911,3374.656492
22166.18246,Big Fish Lake,PASCO,213,1856606.541,22166.18116
5327.948218,Bellows Lake,HILLSBOROUGH,214,407854.9441,5327.947634
3386.400144,Rock Pond,HERNANDO,215,123635.764,3386.400416
