AOI,Lake,longitude,latitude,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA,ShapeSource
Monroe,Monroe,-81.26912893,28.83879493,110168,107881199,5/6/15,2,287074,Lake Monroe,35.49635575,0,3.0801E+12,390,39004,5000000,0.512145168,0.003281774,"Monroe, Lake",304,0,0,0,Lakewatch_FWC_control_plants_quality
Mud,Mud,-81.84306711,28.16840483,520513,68083645,6/3/13,2,287403,Mud Lake,0.5620565,0,3.10021E+12,390,39004,1000000,0.05130025,5.16429E-05,Mud Lake,310,0,0,0,Lakewatch_FWC_control_plants_quality
Nina,Nina,-81.3597489,28.62467458,301058,107777681,10/16/03,2,299957,Mud Lake,0.036,0,3.0801E+12,390,39004,250000,0.011930599,3.3365E-06,"Nina, Lake",319,0,0,0,Lakewatch_FWC_control_plants_quality
NorthConway,North Conway,-81.34940193,28.47242141,239823,112028653,9/10/09,2,280728,Lake Conway,4.369,26.2,3.0901E+12,390,39009,2000000,0.161460543,0.000402532,"Conway, Lake",81,0,0,0,Lakewatch_FWC_control_plants_quality
Okeeheelee,Okeeheelee,-80.16238789,26.65802478,449967,138368906,2/5/15,2,,,0.49861233,0,3.09021E+12,436,43603,1000000,0.094461181,4.5204E-05,"Okeeheelee Park, Lake",642,0,0,0,Lakewatch_FWC_control_plants_quality
Orange,Orange,-82.17993,29.45957338,254341,112615464,3/18/20,2,288216,Orange Lake,29.46448806,0,3.0801E+12,390,39004,5000000,0.707353287,0.002740289,Orange,0,0,0,0,Lakewatch_FWC_control_plants_quality
OrangeOpenWater,Orange,-82.1822143,29.45882306,254341,112615464,3/18/20,2,288216,Orange Lake,29.46448806,0,3.0801E+12,390,39004,5000000,0.707353287,0.002740289,Orange,0,0,0,0,Lakewatch_FWC_control_plants_quality
Osborne,Osborne,-80.07775638,26.59600974,54144,138369423,2/5/15,2,288259,Lake Osborne,1.58118183,0,3.09021E+12,390,39004,5000000,0.2321973,0.000143274,"Osborne, Lake",332,0,0,0,Lakewatch_FWC_control_plants_quality
Osceola,Osceola,-81.34184405,28.60246041,148140,107806849,9/10/09,2,288267,Lake Osceola,0.632,66,3.0801E+12,390,39009,1000000,0.044336875,5.83084E-05,"Osceola, Lake",333,0,0,0,Lakewatch_FWC_control_plants_quality
Palmer,Palmer,-81.52862833,28.47241328,425754,120024235,4/15/11,2,288428,Lake Palmer,0.188,0,3.0901E+12,390,39004,500000,0.019698153,1.73057E-05,Isleworth,0,0,0,0,Lakewatch_FWC_control_plants_quality
Panasoffkee,Panasoffkee,-82.12223701,28.80166747,18712,68089519,8/20/13,2,294114,Lake Panasoffkee,13.18681544,0,3.10021E+12,390,39004,5000000,0.310790771,0.001218755,Panasoffkee,0,0,0,0,Lakewatch_FWC_control_plants_quality
Parker,Parker,-81.93186401,28.06762663,254670,78690613,2/20/13,2,288524,Lake Parker,8.53325298,130,3.1001E+12,390,39009,5000000,0.208037087,0.000783315,Parker,0,0,0,0,Lakewatch_FWC_control_plants_quality
Pierce,Pierce,-81.5237333,27.97777254,422741,112041999,10/19/13,2,288797,Lake Pierce,15.60450793,23.2,3.0901E+12,390,39009,5000000,0.301940463,0.001431272,Pierce,0,0,0,0,Lakewatch_FWC_control_plants_quality
Placid,Placid,-81.36344661,27.24211025,427274,112050757,9/9/14,2,289014,Lake Placid,13.73273063,28,3.0901E+12,390,39009,5000000,0.171185155,0.001251332,"Placid, Lake",353,0,0,0,Lakewatch_FWC_control_plants_quality
Pocket,Pocket,-81.51304846,28.420513,427157,112030991,4/15/11,2,289103,Pocket Lake,0.517,29.9,3.0901E+12,390,39009,1000000,0.030570919,4.76165E-05,Pocket,0,0,0,0,Lakewatch_FWC_control_plants_quality
Rochelle,Rochelle,-81.72007134,28.07292199,202577,78686169,8/24/12,2,289806,Lake Rochelle,2.08856849,128,3.1001E+12,390,39009,5000000,0.082934815,0.000191732,Rochelle,0,0,0,0,Lakewatch_FWC_control_plants_quality
