AOI,Lake,longitude,latitude,OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA
Jackson(Highlands),Jackson (Highlands),-81.462401282447146,27.490933631957713,"429806","112049059",2009/09/10,"2","00284682",Lake Jackson,13.60100000000,"31.1","03090101037673","390","39009","5000000",0.17949702301,0.00124206209,Little Jackson,"0","0",0.000000000000000,0.000000000000000
Jackson(Leon),Jackson (Leon),-84.327025717247210,30.534989958593265,"303794","129952177",2016/04/09,"2","00284694",Lake Jackson,14.95426367000,"26.5","03120003001734","390","39009","5000000",0.48865007011,0.00140558863,"Jackson, Lake","210","0",0.000000000000000,0.000000000000000
Jackson(Osceola),Jackson (Osceola),-81.162966586383689,27.908135297607497,"425142","112042187",2014/04/24,"2","00284691",Lake Jackson,4.04150784000,"15.5","03090101034629","390","39009","5000000",0.09861401522,0.00037046124,Jackson,"0","0",0.000000000000000,0.000000000000000
Jessie,Jessie,-81.763164445252031,28.057723597500789,"162167","78591531",2013/02/20,"2","00284779",Lake Jessie,0.72947681000,"0.0","03100101004317","390","39004","1000000",0.03107493371,0.00006695717,Jessie,"0","0",0.000000000000000,0.000000000000000
Johns,Johns,-81.652656715405286,28.532049562194420,"45493","112683814",2020/05/28,"2","00284856",Johns Lake,9.89766288000,"0.0","03080102005491","390","39000","5000000",0.48409129370,0.00091246121,John's,"0","0",0.000000000000000,0.000000000000000
Josephine,Josephine,-81.437996494593591,27.397303927227362,"425420","112049879",2014/09/09,"2","00284942",Lake Josephine,5.15577169000,"21.6","03090101038240","390","39009","2000000",0.14544789700,0.00047043908,Josephine Center,"0","0",0.000000000000000,0.000000000000000
Juliana,Juliana,-81.802983486654199,28.127276910336448,"520433","68087837",2013/06/03,"2","00284964",Lake Juliana,3.74047318000,"130.0","03100208003616","390","39009","2000000",0.08936582208,0.00034354946,Juliana,"0","0",0.000000000000000,0.000000000000000
JuneInWinter,June In Winter,-81.399002471824431,27.304141125739626,"172101","112050499",2009/09/10,"2","00284976",Lake June in Winter,15.09100000000,"22.3","03090101038458","390","39009","5000000",0.21195121585,0.00137580425,June,"0","0",0.000000000000000,0.000000000000000
Karick,Karick,-86.644264338746382,30.896351909057103,"526524","40981775",2018/06/11,"2","00305895",Karick Lake,0.25925486000,"0.0","03140103002232","390","39004","500000",0.04632660364,0.00002445848,Karick Lake FMA,"229","0",0.000000000000000,0.000000000000000
Kerr,Kerr,-81.771680100473475,29.357667412428761,"191103","107881209",2014/10/16,"2","00305905",Lake Kerr,11.74584074000,"25.0","03080101028892","390","39009","5000000",0.33041018088,0.00109130001,Kerr,"0","0",0.000000000000000,0.000000000000000
KingsBay,Kings Bay,-82.601144741615713,28.888439542547129,,,,,,,,,,,,,,,,,,,
Kissimmee,Kissimmee,-81.264151120586575,27.907044229381039,"428172","120024288",2014/04/24,"2","00295796",Lake Kissimmee,127.00387936000,"14.9","03090101034343","390","39009","5000000",1.17971426516,0.01164186642,Kissimmee,"0","0",0.000000000000000,0.000000000000000
Lawne,Lawne,-81.438113393609470,28.564418600710059,"312516","107808735",2013/06/26,"2","00285401",Lawne Lake,0.59569551000,"87.0","03080101010320","390","39009","1000000",0.04709569403,0.00005493320,Lawne,"0","0",0.000000000000000,0.000000000000000
LittleConway,Little Lake Conway,-81.351793145647989,28.486921366687639,,,,,,,,,,,,,,,,,,,
LittleFish,Little Fish,-81.512843767818183,28.409810396181818,"148227","112031491",2003/11/20,"2","00285678",Little Fish Lake,0.09800000000,"29.9","03090101029629","390","39009","500000",0.01103884461,0.00000905841,Fish,"0","0",0.000000000000000,0.000000000000000
LittleHamilton,Little Hamilton,-81.634597324397419,28.071536262205306,"187285","78686175",2012/08/24,"2","00285728",Little Lake Hamilton,1.39804226000,"120.0","03100101004275","390","39009","2000000",0.05889262644,0.00012833930,Little Lake Hamilton,"243","0",0.000000000000000,0.000000000000000
LittleRedWater,Little Red Water,-81.472622455995975,27.541222193305806,"430226","112047993",2003/11/20,"2","00285771",Little Red Water Lake,1.26900000000,"31.7","03090101037432","390","39009","2000000",0.05412772668,0.00011593784,"Red Water, Lake","365","0",0.000000000000000,0.000000000000000
Lochloosa,Lochloosa,-82.129048912734333,29.518282294259848,"147726","120024471",2020/05/28,"2","00294060",Lochloosa Lake,22.08000922000,"0.0","03080102037442","390","39000","5000000",0.19236511265,0.00205470286,Lochloosa,"0","0",0.000000000000000,0.000000000000000
Louise,Louise,-81.535143659075430,28.477626275905202,"429979","120024234",2013/07/10,"2","00286141",Lake Louise,0.51610035000,"0.0","03090101028685","390","39004","1000000",0.04298371231,0.00004755493,"Louise, Lake","261","0",0.000000000000000,0.000000000000000
Lulu,Lulu,-81.721469957577341,27.996009501915658,"293153","78690651",2013/02/20,"2","00286210",Lake Lulu,1.13125762000,"131.0","03100101005122","390","39009","5000000",0.04830709229,0.00010377764,Lulu,"0","0",0.000000000000000,0.000000000000000
Maggiore,Maggiore,-82.653188042485382,27.736824764141335,"548305","68768614",2019/04/22,"2","00286284",Lake Maggiore,1.50942245000,"0.0","03100206001366","390","39004","2000000",0.05520347028,0.00013814550,Maggiore,"0","0",0.000000000000000,0.000000000000000
Maitland,Maitland,-81.350581308523815,28.616908236841269,"79263","107807213",2009/09/10,"2","00286319",Lake Maitland,1.81800000000,"66.0","03080101010122","390","39009","2000000",0.10781665302,0.00016773247,Maitland,"0","0",0.000000000000000,0.000000000000000
Mangonia,Mangonia,-80.075656143754202,26.739589040622896,"296923","138368052",2015/02/05,"2","00286376",Lake Mangonia,2.27082249000,"0.0","03090206043221","390","39004","2000000",0.07234829015,0.00020601506,Mangonia,"275","0",0.000000000000000,0.000000000000000
Mann,Mann,-81.426598319955417,28.536439394336718,"430229","112027795",2009/09/10,"2","00286385",Lake Mann,1.06900000000,"27.4","03090101028037","390","39009","1000000",0.04726961832,0.00009859817,Mann,"0","0",0.000000000000000,0.000000000000000
Mariana,Mariana,-81.763081603077268,28.076014466276927,"33557","78591457",2012/08/24,"2","00286421",Lake Sanitary,2.08259654000,"0.0","03100101004281","390","39004","2000000",0.07952212003,0.00019118821,Marianna,"0","0",0.000000000000000,0.000000000000000
Miccosukee,Miccosukee,-83.979854791887249,30.567927710236031,"457196","129753569",2011/02/04,"2","00286773",Lake Miccosukee,20.26300000000,"0.0","03120001008814","390","39004","5000000",0.31002540907,0.00190530190,Miccosukee,"0","0",0.000000000000000,0.000000000000000
MiddleHamilton,Middle Hamilton,-81.648980506098795,28.068748505100775,"379821",{D5ACF8FF-B175-4565-B6E5-03DD11008990},2014/10/27,"2","00286806",Middle Lake Hamilton,0.39254833000,"120.0","03100101037992","390","39009","1000000",0.02678919533,0.00003603483,Middle Lake Hamilton,"293","0",0.000000000000000,0.000000000000000
Minnehaha,Minnehaha,-81.355027885190836,28.631919734961834,"153256","107718387",2015/05/06,"2","00286960",Lake Minnehaha,0.39656763000,"66.0","03080101010103","390","39009","1000000",0.02584301684,0.00003659334,Minnehaha,"0","0",0.000000000000000,0.000000000000000
Mizell,Mizell,-81.338021047615655,28.593494115409253,"279501","107806865",2009/09/10,"2","00287022",Lake Mizell,0.25100000000,"66.0","03080101010205","390","39009","500000",0.02251463067,0.00002317282,"Mizell, Lake","303","0",0.000000000000000,0.000000000000000
Monroe,Monroe,-81.269128929250058,28.838794933548495,"110168","107881199",2015/05/06,"2","00287074",Lake Monroe,35.49635575000,"0.0","03080101028889","390","39004","5000000",0.51214516821,0.00328177418,"Monroe, Lake","304","0",0.000000000000000,0.000000000000000
Mud,Mud,-81.843067105107806,28.168404830249312,"520513","68083645",2013/06/03,"2","00287403",Mud Lake,0.56205650000,"0.0","03100208003598","390","39004","1000000",0.05130025030,0.00005164287,Mud Lake,"310","0",0.000000000000000,0.000000000000000
Nina,Nina,-81.359748897272723,28.624674579090907,"301058","107777681",2003/10/16,"2","00299957",Mud Lake,0.03600000000,"0.0","03080101010110","390","39004","250000",0.01193059913,0.00000333650,"Nina, Lake","319","0",0.000000000000000,0.000000000000000
NorthConway,North Conway,-81.349401926619620,28.472421413555107,"239823","112028653",2009/09/10,"2","00280728",Lake Conway,4.36900000000,"26.2","03090101028282","390","39009","2000000",0.16146054263,0.00040253211,"Conway, Lake","81","0",0.000000000000000,0.000000000000000
Okeeheelee,Okeeheelee,-80.162387891545563,26.658024776119696,"449967","138368906",2015/02/05,"2",,,0.49861233000,"0.0","03090206044030","436","43603","1000000",0.09446118076,0.00004520395,"Okeeheelee Park, Lake","642","0",0.000000000000000,0.000000000000000
Orange,Orange,-82.179929999875910,29.459573378076502,"254341","112615464",2020/03/18,"2","00288216",Orange Lake,29.46448806000,"0.0","03080102029141","390","39004","5000000",0.70735328673,0.00274028896,Orange,"0","0",0.000000000000000,0.000000000000000
OrangeOpenWater,Orange,-82.182214302680620,29.458823062561770,"254341","112615464",2020/03/18,"2","00288216",Orange Lake,29.46448806000,"0.0","03080102029141","390","39004","5000000",0.70735328673,0.00274028896,Orange,"0","0",0.000000000000000,0.000000000000000
Osborne,Osborne,-80.077756377969791,26.596009743221476,"54144","138369423",2015/02/05,"2","00288259",Lake Osborne,1.58118183000,"0.0","03090206044270","390","39004","5000000",0.23219730030,0.00014327372,"Osborne, Lake","332","0",0.000000000000000,0.000000000000000
Osceola,Osceola,-81.341844051305415,28.602460413226606,"148140","107806849",2009/09/10,"2","00288267",Lake Osceola,0.63200000000,"66.0","03080101010198","390","39009","1000000",0.04433687517,0.00005830836,"Osceola, Lake","333","0",0.000000000000000,0.000000000000000
Palmer,Palmer,-81.528628334142013,28.472413276982248,"425754","120024235",2011/04/15,"2","00288428",Lake Palmer,0.18800000000,"0.0","03090101028738","390","39004","500000",0.01969815329,0.00001730568,Isleworth,"0","0",0.000000000000000,0.000000000000000
Panasoffkee,Panasoffkee,-82.122237010382761,28.801667466990228,"18712","68089519",2013/08/20,"2","00294114",Lake Panasoffkee,13.18681544000,"0.0","03100208002551","390","39004","5000000",0.31079077069,0.00121875533,Panasoffkee,"0","0",0.000000000000000,0.000000000000000
Parker,Parker,-81.931864007521369,28.067626632002440,"254670","78690613",2013/02/20,"2","00288524",Lake Parker,8.53325298000,"130.0","03100101004304","390","39009","5000000",0.20803708662,0.00078331463,Parker,"0","0",0.000000000000000,0.000000000000000
Pierce,Pierce,-81.523733297765148,27.977772543938126,"422741","112041999",2013/10/19,"2","00288797",Lake Pierce,15.60450793000,"23.2","03090101034386","390","39009","5000000",0.30194046324,0.00143127223,Pierce,"0","0",0.000000000000000,0.000000000000000
Placid,Placid,-81.363446610042473,27.242110246161474,"427274","112050757",2014/09/09,"2","00289014",Lake Placid,13.73273063000,"28.0","03090101038576","390","39009","5000000",0.17118515458,0.00125133173,"Placid, Lake","353","0",0.000000000000000,0.000000000000000
Pocket,Pocket,-81.513048458178687,28.420513004123713,"427157","112030991",2011/04/15,"2","00289103",Pocket Lake,0.51700000000,"29.9","03090101029404","390","39009","1000000",0.03057091928,0.00004761651,Pocket,"0","0",0.000000000000000,0.000000000000000
Rochelle,Rochelle,-81.720071342966833,28.072921987537324,"202577","78686169",2012/08/24,"2","00289806",Lake Rochelle,2.08856849000,"128.0","03100101004282","390","39009","5000000",0.08293481492,0.00019173188,Rochelle,"0","0",0.000000000000000,0.000000000000000
Rodman,Rodman Reservoir,-81.861803248337395,29.513628187226541,,,,,,,,,,,,,,,,,,,
Sampson,Sampson,-82.187315191958859,29.927937681469150,"51440","113641339",2019/04/16,"2","00290460",Lake Sampson,8.02296856000,"132.0","03110206000708","390","39009","5000000",0.17668422558,0.00074957264,Sampson,"0","0",0.000000000000000,0.000000000000000
Sarah,Sarah,-81.402706735555554,28.585415347037038,"129986","107809233",2009/09/10,"2","00290674",Lake Sarah,0.05000000000,"0.0","03080101010257","390","39004","250000",0.00789470231,0.00000465448,Sarah,"0","0",0.000000000000000,0.000000000000000
Seminole,Seminole,-82.778876349057654,27.863495188318424,"138819","120024097",2019/02/01,"2","00290850",Lake Seminole,2.74431178000,"0.0","03100207016047","436","43600","2000000",0.18238660313,0.00025144784,Seminole,"0","0",0.000000000000000,0.000000000000000
Sheen,Sheen,-81.520747236572006,28.431815404618664,"430698","112030525",2011/04/15,"2","00290953",Lake Sheen,2.30600000000,"29.9","03090101029193","390","39009","2000000",0.06334970032,0.00021238303,Sheen,"0","0",0.000000000000000,0.000000000000000
Shipp,Shipp,-81.742319773792389,28.002512234930112,"111054","78690635",2012/11/02,"2","00291058",Lake Shipp,1.08997877000,"131.0","03100101004360","390","39009","5000000",0.04097918479,0.00009999698,Shipp,"0","0",0.000000000000000,0.000000000000000
SouthConway,South Conway,-81.348012850079044,28.459044518176171,"239823","112028653",2009/09/10,"2","00280728",Lake Conway,4.36900000000,"26.2","03090101028282","390","39009","2000000",0.16146054263,0.00040253211,"Conway, Lake","81","0",0.000000000000000,0.000000000000000
Starke,Starke/Prima Vista,-81.536443027428575,28.570677114035718,"4157","10995273",1999/10/17,"3","00291635",Starke Lake,0.81200000000,NULL,"03080101010335","390","39004","0",0.00000000000,0.00000000000,Starke,"0",,3378.207589626420031,811908.332279895083047
Swoope,Swoope,-81.725543354429050,28.101634986470589,"89821","78686067",2012/08/24,"2","00291973",Lake Swoope,0.33658792000,"131.0","03100101004259","390","39009","1000000",0.02769791112,0.00003090708,Swoope Lake,"432","0",0.000000000000000,0.000000000000000
Tarpon,Tarpon,-82.722446879670954,28.117255434527873,"180864","68792760",2019/04/22,"2","00292049",Lake Tarpon,10.29406153000,"2.0","03100206001066","390","39009","5000000",0.26725246690,0.00094539280,"Tarpon, Lake","435","0",0.000000000000000,0.000000000000000
Tibet,Tibet,-81.524375371155728,28.455356783771943,"427483","112029645",2013/07/10,"2","00292259",Lake Tibet,4.36359805000,"29.9","03090101028664","390","39009","2000000",0.13911482855,0.00040198296,"Tibet, Lake","443","0",0.000000000000000,0.000000000000000
Tohopekaliga,Tohopekaliga,-81.380783323172693,28.209280289022232,"13616","112039563",2014/11/03,"2","00292327",Lake Tohopekaliga,75.38271464000,"16.2","03090101031397","390","39009","5000000",0.78646704647,0.00692855170,Tohopekaliga-South,"0","0",0.000000000000000,0.000000000000000
Trafford,Trafford,-81.493733281457295,26.422661122131156,"436934","117029829",2016/05/04,"2","00292393",Lake Trafford,6.59818196000,"19.0","03090204006541","390","39009","2000000",0.11278091614,0.00059698628,Trafford,"0","0",0.000000000000000,0.000000000000000
Virginia,Virginia,-81.344224628807098,28.588589150152284,"95000","107806875",2013/06/26,"2","00292785",Lake Virginia,0.90405990000,"66.0","03080101010209","390","39009","1000000",0.04520307136,0.00008338846,Virginia,"0","0",0.000000000000000,0.000000000000000
Weir,Weir,-81.942399499318853,29.013722426718619,"249902","112626502",2020/05/28,"2","00306567",Lake Weir,22.75941448000,"0.0","03080102029262","390","39000","5000000",0.28482686614,0.00210769710,Sunset Harbor,"0","0",0.000000000000000,0.000000000000000
Weohyakapka,Weohyakapka,-81.413615370555291,27.821089068266762,"430377","120024290",2013/10/19,"2","00294192",Lake Weohyakapka,30.54971344000,"18.9","03090101035123","390","39009","5000000",0.20598311731,0.00279808119,"Weohyakapka, Lake","475","0",0.000000000000000,0.000000000000000
Yale,Yale,-81.735161781393899,28.911491537025512,"139649","112613946",2020/05/28,"2","00306620",Lake Yale,16.35502083000,"0.0","03080102004874","390","39000","5000000",0.23274151801,0.00151314052,Yale,"0","0",0.000000000000000,0.000000000000000
