CoordSource,AreaOfInterest,AreaOfInterestID,County,GNISID_LW,SA_LW_hec,latitude,longitude,OBJECTID,PermanentID,FDate,Resolution,GNISID,GNISName,Area_SqKm,Elevation,ReachCode,FType,FCode,Visibility,ShapeLength,ShapeArea,JoinNotes,ShapeSource
Lakewatch,Alex,0,Broward,NA,NA,26.03683333,-80.19646667,449473,138373791,4/17/14,2,,,0.05453788,3,3.09E+12,436,43603,250000,0.029803656,4.92E-06,,NHD
FWC,Alexander Springs,6,,,,29.08019,-81.56625,,,,,,,,,,,,,,,"matched to polygon, removed data",NHD
Lakewatch,Alford Arm,0,Leon,277742,NA,30.44633333,-84.1551,457554,129754612,9/30/14,2,277742,Alford Arm,1.11072194,0,3.12E+12,390,39004,1000000,0.074145538,0.000104306,,NHD
FWC,"Alfred, Lake",7,,,,28.1001,-81.7441,177413,78690599,8/24/12,2,277744,Lake Alfred,2.73754798,0,3.10E+12,390,39004,5000000,0.078973906,0.000251369,,NHD
Lakewatch,Alice,0,Alachua,277748,11,29.6431,-82.3615,114782,112699130,5/28/20,2,277748,Lake Alice,0.09333302,0,3.08E+12,390,39000,500000,0.016240848,8.70E-06,,NHD
Lakewatch,Alice,0,Hillsborough,277746,38,28.1329,-82.60486667,77931,68758758,6/18/19,2,277746,Lake Alice,0.39500873,39,3.10E+12,390,39009,1000000,0.032792663,3.63E-05,,NHD
Lakewatch,Allen,0,Hillsborough,277759,11,28.15723333,-82.48853333,207629,68758118,6/18/19,2,277759,Lake Allen,0.1024313,0,3.10E+12,390,39004,500000,0.013725005,9.41E-06,,NHD
Lakewatch,Allen,0,Pinellas,NA,NA,27.88123333,-82.75256667,506045,58669035,2/1/19,2,,,0.13098721,0,3.10E+12,436,43600,500000,0.016650897,1.20E-05,,NHD
Lakewatch,Allen,0,Walton,NA,7.12272,30.3544,-86.2519,528386,120023955,5/8/13,2,,,0.0684369,0,3.14E+12,390,39004,250000,0.018801682,6.42E-06,,NHD
Lakewatch,Alligator,0,Osceola,277794,1417,28.21778333,-81.2063,95105,112037599,8/19/13,2,277794,Alligator Lake,13.9045551,19.5,3.09E+12,390,39009,5000000,0.217431036,0.001278048,,NHD
Lakewatch,Alligator,0,Pinellas,277793,31.4,27.9813,-82.69806667,14999,68783400,4/22/19,2,277793,Alligator Lake,0.30660132,0,3.10E+12,390,39004,500000,0.050575686,2.81E-05,,NHD
Lakewatch,Alligator,0,Walton,277797,6.43473,30.33476667,-86.17406667,288393,35361059,5/8/13,2,277797,Alligator Lake,0.04387316,0,3.14E+12,390,39004,250000,0.01327113,4.12E-06,,NHD
FWC_2,Alligator Lake,10,Pinellas,,,27.979933,-82.701067,14999,68783400,4/22/19,2,277793,Alligator Lake,0.30660132,0,3.10E+12,390,39004,500000,0.050575686,2.81E-05,,NHD
FWC,Alligator Lake,8,,,,30.175,-82.632367,137649,113627403,6/27/08,2,305208,Alligator Lake,0.693,0,3.11E+12,390,39004,1000000,0.094845572,6.49E-05,outer boundary,NHD
FWC,Alligator Lake,8,,,,30.175,-82.632367,88284,166104490,6/27/08,2,,,1.283,0,3.11E+12,390,39000,2000000,0.067394489,0.00012018,center lake,NHD
FWC,Alligator Lake,9,,,,28.21487,-81.20444,95105,112037599,8/19/13,2,277794,Alligator Lake,13.9045551,19.5,3.09E+12,390,39009,5000000,0.217431036,0.001278048,,NHD
Lakewatch,Alligator South,0,Columbia,NA,NA,nan,nan,,,,,,,,,,,,,,,,NHD
Lakewatch,Allison,0,Pinellas,NA,NA,27.9109,-82.77933333,506380,{181B10C1-D532-405D-ABDB-5035ECC90D66},2/1/19,2,,,0.00925461,0,3.10E+12,436,43600,100000,0.006582052,8.48E-07,,NHD
Lakewatch,Alma,0,Seminole,277811,8,28.71796667,-81.35353333,130484,107719277,9/5/14,2,277811,Lake Alma,0.01730235,53,3.08E+12,390,39009,100000,0.010948776,1.60E-06,,NHD
Lakewatch,Alto,0,Alachua,307655,232,29.77866667,-82.14326667,372956,113647923,4/16/19,2,307655,Lake Alto,2.24357585,0,3.11E+12,390,39004,5000000,0.059798601,0.000209307,,NHD
FWC,"Alto, Lake",11,,,,29.779958,-82.144795,372956,113647923,4/16/19,2,307655,Lake Alto,2.24357585,0,3.11E+12,390,39004,5000000,0.059798601,0.000209307,,NHD
Lakewatch,Amory,0,Seminole,277840,2.8,28.7807,-81.31343333,250399,107826425,10/16/03,2,277840,Amory Lake,0.04,0,3.08E+12,390,39004,250000,0.013704127,3.67E-06,,NHD
FWC,Anclote River,12,,,,28.1743,-82.79015,,,,,,,,,,,,,,,,NHD
Lakewatch,Anderson Cue,0,Putnam,NA,4.4,29.6895,-82.00653333,136468,125960584,3/21/14,2,,,0.05860838,103,3.08E+12,390,39009,250000,0.011382675,5.46E-06,,NHD
Lakewatch,Andrew,0,Leon,305216,4,30.4008,-84.40783333,242683,129755489,12/2/04,2,305216,Andrew Lake,0.041,0,3.12E+12,390,39004,250000,0.007178925,3.83E-06,,NHD
Lakewatch,Andrews,0,Taylor,277873,18,30.2733,-83.6484,476107,114934481,3/11/14,2,277873,Andrews Lake,0.18046757,73,3.11E+12,390,39009,500000,0.016267159,1.69E-05,,NHD
Lakewatch,Angelina,0,Orange,NA,NA,28.76366667,-81.63806667,191001,112623798,5/28/20,2,,,0.01800265,0,3.08E+12,390,39000,100000,0.004632468,1.66E-06,,NHD
Lakewatch,Angelo,0,Highlands,277883,24,27.5864,-81.4666,425954,112047069,9/10/09,2,277883,Lake Angelo,0.226,28,3.09E+12,390,39009,500000,0.018043736,2.06E-05,,NHD
Lakewatch,Ann,0,Seminole,277888,6,28.62706667,-81.30906667,217387,107719113,5/6/15,2,277888,Lake Ann,0.06402669,60,3.08E+12,390,39009,250000,0.009521654,5.91E-06,,NHD
Lakewatch,Ann,0,St Lucie,NA,NA,27.53426667,-80.40386667,405065,{3EE10EAC-FB84-41CD-A883-633BD90EEED9},11/30/16,2,,,0.03547033,0,3.08E+12,436,43617,250000,0.010405162,3.24E-06,,NHD
Lakewatch,Anna,0,Leon,NA,NA,30.55946667,-84.20363333,457469,129753613,12/2/04,2,,,0.042,0,3.12E+12,390,39004,250000,0.010131277,3.92E-06,,NHD
Lakewatch,Annabelle Reed,0,Lake,2071416,NA,28.68676667,-81.7709,99763,{A9A228B9-E832-40D4-A3CA-8C9DFF0EE000},5/28/20,2,,,0.02092236,0,,466,46600,0,0.014315242,1.93E-06,outer boundary,NHD
Lakewatch,Annabelle Reed,0,Lake,2071416,NA,28.68676667,-81.7709,151483,112639356,5/28/20,2,2071416,Lake Annabelle Reed,0.01288778,0,3.08E+12,390,39000,100000,0.004956618,1.19E-06,center lake,NHD
Lakewatch,Annie,0,Highlands,NA,35,27.20756667,-81.35056667,173950,104239816,10/11/19,2,277896,Lake Annie,0.35898726,33.8,3.09E+12,390,39009,1000000,0.021651697,3.27E-05,,NHD
Lakewatch,Annie,0,Polk,277897,180,27.9918,-81.60656667,33636,78690661,11/2/12,2,277897,Lake Annie,1.64847987,119,3.10E+12,390,39009,2000000,0.057444062,0.00015122,,NHD
Lakewatch,Annie,0,Putnam,NA,9,29.6018,-82.01606667,278865,112637134,11/4/09,2,,,0.083,0,3.08E+12,390,39004,500000,0.010192682,0.000007748,,NHD
FWC,"Annie, Lake",13,,,,27.992072,-81.605863,33636,78690661,11/2/12,2,277897,Lake Annie,1.64847987,119,3.10E+12,390,39009,2000000,0.057444062,0.00015122,,NHD
Lakewatch,Anoka,0,Highlands,277901,20,27.5806,-81.51226667,428343,112047265,9/10/09,2,277901,Lake Anoka,0.195,37.8,3.09E+12,390,39009,500000,0.020479984,1.78E-05,,NHD
FWC,Ansin East Impoundment,1606,,,,27.679054,-80.610891,,,,,,,,,,,,,,,,NHD
FWC,Apalachee Wildlife Management Area,1662,,,,30.74771,-84.939122,,,,,,,,,,,,,,,,NHD
FWC,Apalachicola NF Ephemeral Ponds,643,,,,30.18825,-84.647644,,,,,,,,,,,,,,,,NHD
FWC,Apalachicola River,14,,,,29.7779,-85.04839,,,,,,,,,,,,,,,,NHD
Lakewatch,Apopka,0,Orange,293912,12518,28.62186667,-81.6302,259160,112615520,5/28/20,2,293912,Lake Apopka,125.3783507,0,3.08E+12,390,39000,5000000,0.670185952,0.011568447,,NHD
FWC,Apopka Beauclair Canal,15,,,,28.766051,-81.675696,,,,,,,,,,,,,,,,NHD
Lakewatch,Apopka South,0,Orange,293912,12518,28.57846667,-81.60256667,259160,112615520,5/28/20,2,293912,Lake Apopka,125.3783507,0,3.08E+12,390,39000,5000000,0.670185952,0.011568447,,NHD
FWC,"Apopka, Lake",16,,,,28.6091,-81.60865,259160,112615520,5/28/20,2,293912,Lake Apopka,125.3783507,0,3.08E+12,390,39000,5000000,0.670185952,0.011568447,,NHD
Lakewatch,Apshawa,0,Lake,277925,NA,28.60073333,-81.77496667,258968,112663058,5/28/20,2,277925,Apshawa Lake,0.23653494,0,3.08E+12,390,39000,1000000,0.017308053,2.18E-05,,NHD
Lakewatch,Apthorpe,0,Highlands,277926,89,27.34376667,-81.36533333,430177,112050101,9/10/09,2,277926,Lake Apthorp,0.867,21,3.09E+12,390,39009,1000000,0.054124769,7.91E-05,,NHD
FWC,"Apthorpe, Lake",17,,,,27.34178,-81.36379,430177,112050101,9/10/09,2,277926,Lake Apthorp,0.867,21,3.09E+12,390,39009,1000000,0.054124769,7.91E-05,,NHD
Lakewatch,Aqua Bowl,0,Miami-Dade,304316,NA,25.91943333,-80.16226667,27066,138374757,4/17/14,2,,,0.05411556,0,3.09E+12,436,43600,250000,0.009960257,4.88E-06,,NHD
Lakewatch,Aquarius,0,Charlotte,NA,NA,26.91823333,-82.19923333,,,,,,,,,,,,,,,,NHD
Lakewatch,Arbuckle,0,Polk,277931,1549,27.69283333,-81.3956,429678,112045497,4/24/14,2,277931,Lake Arbuckle,15.41298817,16.2,3.09E+12,390,39009,5000000,0.20105402,0.001410062,,NHD
FWC,Arbuckle Creek,18,,,,27.56228,-81.3529,,,,,,,,,,,,,,,,NHD
FWC,"Arbuckle, Lake",19,,,,27.71198,-81.41281,429678,112045497,4/24/14,2,277931,Lake Arbuckle,15.41298817,16.2,3.09E+12,390,39009,5000000,0.20105402,0.001410062,,NHD
Lakewatch,Arch Creek,0,Miami-Dade,277932,NA,25.90103333,-80.1629,,,,,,,,,,,,,,,,NHD
Lakewatch,Ariana,0,Polk,277946,415,28.07906667,-81.79773333,60632,78592241,8/24/12,2,277946,Lake Ariana,4.12303824,0,3.10E+12,390,39004,2000000,0.074547768,0.000378519,,NHD
FWC,"Ariana, Lake",20,,,,28.07366,-81.80836,60632,78592241,8/24/12,2,277946,Lake Ariana,4.12303824,0,3.10E+12,390,39004,2000000,0.074547768,0.000378519,,NHD
Lakewatch,Arietta,0,Polk,277947,307,28.10323333,-81.80533333,46756,78591735,8/24/12,2,277947,Lake Arietta,2.99032551,0,3.10E+12,390,39004,2000000,0.077669413,0.000274589,,NHD
Lakewatch,Arlene,0,Lake,NA,NA,28.50636667,-81.81116667,138164,112617702,5/28/20,2,,,0.16156436,0,3.08E+12,390,39000,500000,0.024292174,1.49E-05,,NHD
Lakewatch,Armistead,0,Hillsborough,277954,14,28.10163333,-82.5597,100463,68748036,6/18/19,2,277954,Lake Armistead,0.14527284,40,3.10E+12,390,39009,1000000,0.015408849,1.33E-05,,NHD
Lakewatch,Arnold,0,Orange,277957,11,28.53016667,-81.34123333,134421,112027797,9/10/09,2,277957,Lake Arnold,0.103,28.3,3.09E+12,390,39009,500000,0.012092379,9.49E-06,,NHD
Lakewatch,Arrowhead,0,Leon,NA,NA,30.5671,-84.21763333,303785,129951389,12/7/04,2,,,0.029,0,3.12E+12,390,39004,250000,0.007847861,2.76E-06,,NHD
Lakewatch,Arthur,0,Lake,293915,51,28.62753333,-81.841,146899,112662992,5/28/20,2,293915,Lake Arthur,0.46496987,0,3.08E+12,390,39000,1000000,0.038255178,4.29E-05,,NHD
Lakewatch,Asbury North,0,Clay,1867111,69,30.05835,-81.819175,304863,125951408,7/24/19,2,307224,Lake Asbury,0.46847692,0,3.08E+12,390,39004,5000000,0.08746872,4.38E-05,,NHD
Lakewatch,Asbury South,0,Clay,1867111,18.5,30.046125,-81.820625,,,,,,,,,,,,,,,,NHD
Lakewatch,Ashby,0,Volusia,277968,417,28.9274,-81.10286667,269020,107776069,2/13/15,2,277968,Lake Ashby,3.72622271,11,3.08E+12,390,39009,5000000,0.091348696,0.000344798,,NHD
FWC,"Ashby, Lake",21,,,,28.937783,-81.09455,269020,107776069,2/13/15,2,277968,Lake Ashby,3.72622271,11,3.08E+12,390,39009,5000000,0.091348696,0.000344798,,NHD
Lakewatch,Asher,0,Seminole,NA,NA,28.6597,-81.44686667,105161,107742435,10/16/03,2,,,0.021,0,3.08E+12,390,39004,250000,0.005006215,1.96E-06,,NHD
Lakewatch,Ashley,0,Putnam,292625,34,29.7059,-82.02274,33146,16665863,7/8/99,3,,,0.338,,3.08E+12,390,39004,,3102.863622,337976.0422,FDEP polygon contained two connected waterbodies and coordinates were near center,FDEP
FWC,Aucilla River,22,,,,30.15056,-83.96311,,,,,,,,,,,,,,,,NHD
Lakewatch,August,0,Highlands,NA,NA,27.2756,-81.41336667,423831,112050573,11/20/03,2,,,0.211,0,3.09E+12,390,39004,500000,0.01661579,1.92E-05,,NHD
FWC,"August, Lake",988,,,,27.274964,-81.413537,423831,112050573,11/20/03,2,,,0.211,0,3.09E+12,390,39004,500000,0.01661579,1.92E-05,,NHD
Lakewatch,Aurora,0,Polk,277999,71,27.87913333,-81.4656,430693,112042947,10/19/13,2,277999,Lake Aurora,0.45454313,30.8,3.09E+12,390,39009,1000000,0.037560133,4.17E-05,,NHD
Lakewatch,Avalon,0,Flagler,NA,NA,29.6242,-81.2006,117678,125552608,7/10/19,2,,,0.02917288,0,3.08E+12,436,43600,250000,0.015082453,2.72E-06,,NHD
Lakewatch,Avalon,0,Orange,278004,66,28.509675,-81.644675,150616,112616874,5/28/20,2,278004,Lake Avalon,0.75132252,0,3.08E+12,390,39000,1000000,0.070150127,6.92E-05,,NHD
Lakewatch,Avila,0,Hillsborough,NA,NA,28.1041,-82.47316667,500528,68788880,6/18/19,2,,,0.02739401,0,3.10E+12,436,43600,100000,0.008975222,2.52E-06,,NHD
Lakewatch,Back,0,Walton,NA,NA,30.74173333,-86.14253333,21386,2242701,6/17/99,3,,,0.139,,3.14E+12,390,39004,,1602.343801,138527.6562,FDEP polygon split two waterbodies that are sampled separately,FDEP
FWC,Baker Creek,23,,,,28.047831,-82.267889,,,,,,,,,,,,,,,,NHD
FWC,Baker Creek,23,,,,28.047831,-82.267889,,,,,,,,,,,,,,,,NHD
FWC,Baker Creek,23,,,,28.047831,-82.267889,,,,,,,,,,,,,,,,NHD
Lakewatch,Baldwin,0,Orange,1986929,NA,28.57326667,-81.3221,147631,107807541,6/26/13,2,280865,Lake Corrine,0.79256709,91,3.08E+12,390,39009,1000000,0.031460673,7.31E-05,,NHD
FWC,"Baldwin, Lake",24,,,,28.5718,-81.32308,147631,107807541,6/26/13,2,280865,Lake Corrine,0.79256709,91,3.08E+12,390,39009,1000000,0.031460673,7.31E-05,,NHD
Lakewatch,Banana,0,Polk,278076,138,27.9793,-81.90266667,9116,16798757,10/17/99,3,278076,Banana Lake,1.014,,3.10E+12,390,39004,,4094.794242,1013945.091,FDEP polygon omitted nearby waterway,FDEP
Lakewatch,Banana,0,Putnam,NA,NA,29.46413333,-81.59173333,346795,{39A303A2-5CEB-4105-B518-C35506ADB43A},9/5/14,2,,,0.116586,44,3.08E+12,390,39009,500000,0.019097475,1.08E-05,,NHD
Lakewatch,Banana,0,Seminole,278077,7.3,28.77893333,-81.365,134387,107825879,10/16/03,2,278077,Banana Lake,0.072,49,3.08E+12,390,39009,250000,0.010686888,6.62E-06,,NHD
FWC,Banana Lake,25,,,,27.9788,-81.9036,9116,16798757,10/17/99,3,278076,Banana Lake,1.014,,3.10E+12,390,39004,,4094.794242,1013945.091,FDEP polygon omitted nearby waterway,FDEP
Lakewatch,Banana Pit South,0,Polk,304719,NA,27.97553333,-81.91406667,255403,78658107,8/24/12,2,304719,Little Banana Lake,0.21111875,0,3.10E+12,390,39004,500000,0.025638512,1.94E-05,,NHD
Lakewatch,Banyan,0,Collier,NA,NA,26.16175,-81.80275,202441,117059183,5/4/16,2,,,0.01731715,0,3.09E+12,436,43603,100000,0.00470852,1.56E-06,,NHD
Lakewatch,Banyan,0,Palm Beach,NA,NA,26.6576,-80.1782,449196,138368939,2/5/15,2,,,0.1223038,0,3.09E+12,436,43600,500000,0.022297843,1.11E-05,,NHD
Lakewatch,Baptismal,0,Seminole,NA,NA,28.61353333,-81.24843333,14217,107817817,10/16/03,2,,,0.056,59,3.08E+12,390,39009,250000,0.010599671,5.13E-06,,NHD
Lakewatch,Barco,0,Putnam,278102,13,29.67586667,-82.0083,184217,125960496,9/10/09,2,278102,Lake Barco,0.124,93,3.08E+12,390,39009,500000,0.012683856,1.15E-05,,NHD
Lakewatch,Barton,0,Orange,278135,57,28.55116667,-81.31593333,55687,107807555,6/26/13,2,278136,Lake Barton,0.5294182,93,3.08E+12,390,39009,1000000,0.026112075,4.88E-05,,NHD
Lakewatch,Bass,0,Okaloosa,278166,NA,30.4551,-86.6161,283713,35358075,2/19/13,2,278166,Bass Lake,0.0232756,0,3.14E+12,436,43617,100000,0.01139082,2.19E-06,,NHD
Lakewatch,Bass,0,Pasco,NA,NA,28.18276667,-82.58846667,372153,58683889,7/11/14,2,,,0.04933888,0,3.10E+12,390,39004,250000,0.010074078,4.53E-06,,NHD
Lakewatch,Basswood,0,Volusia,2765157,NA,28.87743333,-81.2629,171939,107806195,11/2/18,2,2765157,Basswood Lake,0.03458123,0,3.08E+12,436,43600,250000,0.010408325,3.20E-06,,NHD
Lakewatch,Bath,0,Seminole,278172,5.6,28.6445,-81.19926667,66422,107815067,10/16/03,2,278172,Bath Lake,0.044,0,3.08E+12,390,39004,250000,0.007612148,4.07E-06,,NHD
Lakewatch,Bay,0,Hillsborough,278212,15,28.0709,-82.5009,51545,68792820,6/18/19,2,278212,Bay Lake,0.15606264,45,3.10E+12,390,39009,500000,0.01593997,1.43E-05,,NHD
Lakewatch,Bay,0,Lake,305241,19.6,28.9251,-81.5228,264793,107819153,10/16/03,2,305241,Bay Lake,0.199,48,3.08E+12,390,39009,500000,0.016726502,1.84E-05,,NHD
Lakewatch,Bay,0,Orange,278211,8,28.5908,-81.421025,279510,107808991,10/16/03,2,278211,Bay Lake,0.146,91,3.08E+12,390,39009,500000,0.013996134,1.34E-05,,NHD
Lakewatch,Bay,0,Osceola,278208,44.5,28.2301,-81.16386667,197733,112036209,11/20/03,2,278208,Bay Lake,0.459,21.6,3.09E+12,390,39009,1000000,0.032386337,4.22E-05,,NHD
FWC,Bay County Salvinia Areas,915,,,,30.314497,-85.577199,525839,122162771,6/28/04,2,,,0.011,0,3.14E+12,390,39004,100000,0.004830358,1.07E-06,,NHD
FWC,Baymeadows FMA,640,,,,30.225426,-81.511237,353036,{42858929-BAC5-4E0F-B6B8-2362984E4E82},12/5/13,2,,,0.0710461,0,3.08E+12,436,43600,250000,0.020796854,6.66E-06,,NHD
FWC,Bayou Chico,1633,,,,30.40516,-87.255996,,,,,,,,,,,,,,,,NHD
Lakewatch,Baywood,0,Pinellas,NA,NA,27.82636667,-82.76256667,507742,58704351,12/9/13,2,,,0.01427089,0,3.10E+12,436,43615,100000,0.008445709,1.31E-06,,NHD
Lakewatch,Beakman,0,Lake,305245,37,29.12266667,-81.62366667,259309,164161195,2/13/15,2,305245,Beakman Lake,0.80606102,0,3.08E+12,390,39004,1000000,0.06884244,7.47E-05,,NHD
FWC,Beakman Lake,26,,,,29.12276,-81.62325,259309,164161195,2/13/15,2,305245,Beakman Lake,0.80606102,0,3.08E+12,390,39004,1000000,0.06884244,7.47E-05,,NHD
Lakewatch,Bear,0,Lake,278335,NA,28.45353333,-81.75046667,116273,112662816,5/28/20,2,278335,Bear Lake,0.22602755,0,3.08E+12,390,39000,500000,0.018753223,2.08E-05,,NHD
Lakewatch,Bear,0,Santa Rosa,278336,44,30.86293333,-86.83146667,530068,40518825,5/20/15,2,278336,Bear Lake,0.43017362,0,3.14E+12,390,39004,1000000,0.047413314,4.06E-05,,NHD
Lakewatch,Bear,0,Seminole,278334,187,28.65298,-81.45112,38308,107742859,10/16/03,2,278334,Bear Lake,1.258,104,3.08E+12,390,39009,1000000,0.056185207,0.000116062,,NHD
Lakewatch,Bear 2,0,Lake,305257,4.08,28.9836,-81.43303333,134381,107822985,10/30/13,2,,,0.01841829,0,3.08E+12,390,39004,100000,0.004962067,1.71E-06,,NHD
Lakewatch,Bear Gully,0,Seminole,278314,56,28.6247,-81.2717,220065,107777671,5/6/15,2,278314,Bear Gully Lake,0.55311225,49,3.08E+12,390,39009,2000000,0.038647759,5.10E-05,,NHD
FWC_2,Bear Lake,27,Santa rosa,,,30.86309,-86.83314,530068,40518825,5/20/15,2,278336,Bear Lake,0.43017362,0,3.14E+12,390,39004,1000000,0.047413314,4.06E-05,,NHD
Lakewatch,Beatrice,0,Seminole,NA,NA,28.7246,-81.05826667,274783,107751485,10/16/03,2,,,0.032,0,3.08E+12,390,39004,250000,0.007951192,2.95E-06,,NHD
FWC,"Beauclair, Lake",28,,,,28.77199,-81.65533,143330,167177234,5/28/20,2,278356,Lake Beauclair,4.55694657,0,3.08E+12,390,39000,5000000,0.115778935,0.00042105,,NHD
Lakewatch,Beauclaire,0,Lake,278356,407,28.77286667,-81.66046667,143330,167177234,5/28/20,2,278356,Lake Beauclair,4.55694657,0,3.08E+12,390,39000,5000000,0.115778935,0.00042105,,NHD
Lakewatch,Beaumont,0,Seminole,NA,NA,28.66183333,-81.33176667,231161,107719129,5/6/15,2,,,0.00241415,0,3.08E+12,436,43600,50000,0.001908007,2.23E-07,,NHD
Lakewatch,Beckett,0,Pinellas,278370,6.5,27.99146667,-82.74646667,500000,68783382,4/22/19,2,278370,Beckett Lake,0.06364422,52,3.10E+12,390,39009,250000,0.011221747,5.84E-06,,NHD
Lakewatch,Becky,0,Leon,NA,NA,30.49575,-84.16635,456460,129754174,12/2/04,2,,,0.035,0,3.12E+12,390,39004,250000,0.006685088,3.29E-06,,NHD
Lakewatch,Bedford,0,Bradford,278374,44,29.80933333,-82.05613333,,,,,,,,,,,,,,,,NHD
Lakewatch,Bel Air,0,St Lucie,NA,NA,27.53156667,-80.3963,142517,83028281,4/24/10,2,,,0.025,0,3.08E+12,436,43617,100000,0.008482221,2.32E-06,,NHD
Lakewatch,Bel-Air,0,Seminole,278407,14,28.77826667,-81.3106,379718,{3AF59B9D-4210-464C-B7FC-535DD7A73E0F},5/6/15,2,278407,Bel-Air Lake,0.14729903,40,3.08E+12,390,39009,500000,0.026910134,1.36E-05,,NHD
Lakewatch,Bell,0,Orange,278437,16,28.6103,-81.37853333,129601,107809213,5/6/15,2,278437,Lake Bell,0.14765885,89,3.08E+12,390,39009,500000,0.014089374,1.36E-05,,NHD
Lakewatch,Bell,0,Pasco,278422,32,28.2203,-82.45366667,470713,41963451,5/30/02,2,278422,Bell Lake,0.334,71,3.10E+12,390,39009,1000000,0.042921624,3.07E-05,,NHD
Lakewatch,Bell,0,Putnam,295032,NA,29.42936667,-81.53663333,115079,107775745,11/12/13,2,295032,Trowel Lake,0.10179932,0,3.08E+12,390,39009,500000,0.012926718,9.46E-06,,NHD
Lakewatch,Bell Canal-1,0,Pasco,278422,NA,28.2246,-82.452,470713,41963451,5/30/02,2,278422,Bell Lake,0.334,71,3.10E+12,390,39009,1000000,0.042921624,3.07E-05,,NHD
Lakewatch,Bell Canal-2,0,Pasco,278422,NA,28.2244,-82.4499,470713,41963451,5/30/02,2,278422,Bell Lake,0.334,71,3.10E+12,390,39009,1000000,0.042921624,3.07E-05,,NHD
Lakewatch,Bellamy,0,Citrus,294179,13,28.93316667,-82.37303333,298848,68037541,9/9/09,2,294179,Tsala Apopka Lake,32.508,38,3.10E+12,390,39009,5000000,2.057828024,0.00300717,"part of Tsala Apopka Lake, no separate polygons available",NHD
Lakewatch,Belle Aire,0,Flagler,NA,NA,29.57846667,-81.2391,,,,,,,,,,,,,,,,NHD
Lakewatch,Belle Aire South,0,Flagler,NA,NA,nan,nan,,,,,,,,,,,,,,,,NHD
