OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,AreaOfInte,AreaOfIn_1,THINNERCOD,SHAPELEN,SHAPEAREA,FAOL_GNIS_,FAOL_REACH,FAOL_WBODY,FAOL_WATER,FAOL_COUNT,FAOL_OLD_W,FAOL_ATLAS
423996,112044187,9/10/09,2,284459,Lake Ida,0.346,24.1,3.0901E+12,390,39009,5000000,0.0209949,3.16492E-05,Ida,0,0,0,0,284459,3.0901E+12,161613,"Ida, Lake (Frostproof)",Polk,1613,POLK
424191,104239282,9/9/14,2,284025,Lake Hill,0.28355888,30.2,3.0901E+12,390,39009,500000,0.01836174,2.58625E-05,Hill,0,0,0,0,284025,3.0901E+12,1000922,"Hill, Lake",Highlands,,FAOL
424484,112029709,9/10/09,2,290734,Lake Sawyer,0.376,32,3.0901E+12,390,39009,1000000,0.02618195,3.46471E-05,Sawyer,0,0,0,0,290734,3.0901E+12,140117,"Sawyer, Lake",Orange,,ORANGE
424662,112028819,11/20/03,2,,,0.014,35.4,3.0901E+12,390,39009,100000,0.004094251,1.27551E-06,Floy,0,0,0,0,,3.0901E+12,140199,"Floy, Lake",Orange,,ORANGE
425097,{2C5C8A1A-63D8-4B4B-B62B-E1D406B15A2A},7/10/13,2,291494,Lake Speer,1.00071988,0,3.0901E+12,390,39004,1000000,0.038436672,9.22103E-05,Speer,0,0,0,0,291494,3.0901E+12,140437,"Speer, Lake",Orange,,ORANGE
425142,112042187,4/24/14,2,284691,Lake Jackson,4.04150784,15.5,3.0901E+12,390,39009,5000000,0.098614015,0.000370461,Jackson,0,0,0,0,284691,3.0901E+12,1001015,"Jackson, Lake",Osceola,,FAOL
425287,112027865,11/20/03,2,284333,Hourglass Lake,0.056,25.6,3.0901E+12,390,39009,250000,0.011329056,5.15899E-06,Hourglass,0,0,0,0,284333,3.0901E+12,140250,"Hourglass, Lake",Orange,,ORANGE
425288,112027725,7/10/13,2,280170,Lake Cay Dee,0.04364144,32,3.0901E+12,390,39009,250000,0.01030922,4.0245E-06,Cay Dee North,0,0,0,0,280170,3.0901E+12,140130,"Cay Dee, Lake",Orange,,ORANGE
425303,112035515,11/20/03,2,292474,Trout Lake,1.082,19.2,3.0901E+12,390,39009,5000000,0.050724023,9.95306E-05,Trout,0,0,0,0,292474,3.0901E+12,1001951,Trout Lake,Osceola,,FAOL
425390,112049307,1/12/14,2,284367,Huckleberry Lake,0.44431535,32,3.0901E+12,390,39009,1000000,0.023555451,4.05615E-05,Huckleberry,0,0,0,0,284367,3.0901E+12,1000964,Huckleberry Lake,Highlands,,FAOL
425420,112049879,9/9/14,2,284942,Lake Josephine,5.15577169,21.6,3.0901E+12,390,39009,2000000,0.145447897,0.000470439,Josephine Center,0,0,0,0,284942,FCP1200003557,1002910,"Josephine, West Lake",Highlands,,FAOL
425420,112049879,9/9/14,2,284942,Lake Josephine,5.15577169,21.6,3.0901E+12,390,39009,2000000,0.145447897,0.000470439,Josephine Center,0,0,0,0,284942,FCP1200003556,1002909,"Josephine, East Lake",Highlands,,FAOL
425420,112049879,9/9/14,2,284942,Lake Josephine,5.15577169,21.6,3.0901E+12,390,39009,2000000,0.145447897,0.000470439,Josephine Center,0,0,0,0,284942,3.0901E+12,1001066,"Josephine, Central Lake",Highlands,,FAOL
425570,112031011,11/20/03,2,284368,Huckleberry Lake,0.392,29.3,3.0901E+12,390,39009,1000000,0.022914497,3.60723E-05,Huckleberry,0,0,0,0,284368,3.0901E+12,140054,Huckleberry Lake,Orange,,ORANGE
425602,112050297,1/12/14,2,280516,Lake Clay,1.43846032,23.8,3.0901E+12,390,39009,2000000,0.052883991,0.000131152,Clay,0,0,0,0,280516,3.0901E+12,1000425,"Clay, Lake",Highlands,,FAOL
425633,112046363,9/9/14,2,277693,Lake Adelaide,0.38904971,30.5,3.0901E+12,390,39009,1000000,0.025994711,3.55757E-05,Adelaide,0,0,0,0,277693,3.0901E+12,1000011,"Adelaide, Lake",Highlands,,FAOL
425718,112039679,8/19/13,2,283023,Lake Gentry,7.28166119,18.9,3.0901E+12,390,39009,5000000,0.124161222,0.000668876,Gentry,0,0,0,0,283023,3.0901E+12,1000771,"Gentry, Lake",Osceola,,FAOL
425754,120024235,4/15/11,2,288428,Lake Palmer,0.188,0,3.0901E+12,390,39004,500000,0.019698153,1.73057E-05,Isleworth,0,0,0,0,288428,3.0901E+12,140260,"Isleworth, Lake",Orange,,ORANGE
425814,112035913,9/10/09,2,290057,Lake Runnymede,1.341,0,3.0901E+12,390,39004,2000000,0.062812846,0.000123298,Runnymeade,0,0,0,0,290057,3.0901E+12,1001650,"Runnymede, Lake",Osceola,,FAOL
425864,112032619,7/10/13,2,277708,Ajay Lake,0.51535269,0,3.0901E+12,390,39004,5000000,0.06227234,4.74259E-05,Ajay,0,0,0,0,277708,3.0901E+12,1000012,Ajay Lake,Osceola,,FAOL
