OBJECTID,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Visibility,Shape_Leng,Shape_Area,THINNERCOD,FAOL_GNIS_,FAOL_REACH,FAOL_WBODY,FAOL_WATER,FAOL_COUNT,FAOL_OLD_W,FAOL_ATLAS,AreaOfInte,AreaOfIn_1,SHAPELEN,SHAPEAREA,FAOL_LAKE,FAOL_shp
"189391","129951407",2016/01/04,"2","02437400",Lake Tallavana,0.62281007000,"44.5","03120003001467","390","39009","1000000",0.07633691098,0.00005857868,"0",,"03120003001467","1002879","Tallavana, Lake",Gadsden,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"197401","40517436",2002/05/07,"2","00285913",Locklin Lake,0.04200000000,"24","03140104001179","390","39010","250000",0.02208312754,0.00000392576,"0","00285913","03140104001179","1001176",Locklin Lake,Santa Rosa,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"199776","125957326",2009/09/10,"2","00278374",Lake Bedford,0.47500000000,"0","03080103019166","390","39004","1000000",0.03378470071,0.00004436835,"0","00278374","03080103019166","1000101","Bedford, Lake",Bradford,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"2572","10361596",1999/07/10,"3",,,116.18900000000,"23","03130004001749","390","39009","0",465024.59287084203,116189318.77353599668,"10",,"03130004004753","1002863","Seminole, Lake",Jackson,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"2572","10361596",1999/07/10,"3",,,116.18900000000,"23","03130004001749","390","39009","0",465024.59287084203,116189318.77353599668,"10","00294149","03130008004141","1002128",Lake Seminole,Jackson,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"2572","10361596",1999/07/10,"3",,,116.18900000000,"23","03130004001749","390","39009","0",465024.59287084203,116189318.77353599668,"10","00286897","03130004004956","1001320",Mill Pond,Jackson,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"4137","10994817",1999/10/17,"3",,,0.03200000000,,"03080101010079","390","39004","0",713.91055322650,31531.34929137500,,,FCP1209500030,"151861",Waumpi Lake,Orange,,ORANGE,,"0",0.000000000000000,0.000000000000000,"0","0"
"22824","16626432",1999/07/08,"3","00300408",Prairie Creek,11.10900000000,,"03080102004007","390","39004","0",32048.02789115850,11108569.04846660048,"10","00300408","03080102004007","1002270",Prairie Creek,Alachua,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"22824","16626432",1999/07/08,"3","00300408",Prairie Creek,11.10900000000,,"03080102004007","390","39004","0",32048.02789115850,11108569.04846660048,"10","00300408","03080102004007","1002270",Prairie Creek,Alachua,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"22824","16626432",1999/07/08,"3","00300408",Prairie Creek,11.10900000000,,"03080102004007","390","39004","0",32048.02789115850,11108569.04846660048,"10","00300408","03080102004007","1002270",Prairie Creek,Alachua,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"25105","16948292",1999/07/24,"3","00292383",Townsen Lake,0.20100000000,,"03100208003002","390","39004","0",2543.34550614533,200658.90852165001,,"00292383","03100208003770","1001945",Townsen Lake,Hernando,,FAOL,,"0",0.000000000000000,0.000000000000000,"0","0"
"31845","16916040",2009/08/24,"3","00300092",Lake Lipsey,0.07100000000,,"03100206001078","390","39004","0",1613.44257839036,70984.78692293999,,"00300092","03100206001490","5185","Lipsey, Lake",Hillsborough,,HILLSBOROUGH,,"0",0.000000000000000,0.000000000000000,"0","0"
"31845","16916040",2009/08/24,"3","00300092",Lake Lipsey,0.07100000000,,"03100206001078","390","39004","0",1613.44257839036,70984.78692293999,,"00300092","03100206001491","5185","Lipsey, Lake",Hillsborough,,HILLSBOROUGH,,"0",0.000000000000000,0.000000000000000,"0","0"
"405009",{3F4DCAD5-271C-42BB-9A1C-A92AE5E08711},2016/11/30,"2",,,0.02351585000,"0.0","03080203036745","436","43617","100000",0.00905587942,0.00000214845,"0",,"03080203007698","1002795","Jean, Lake",St. Lucie,,FAOL,Jean,"0",0.000000000000000,0.000000000000000,"1","1"
"405029",{EE4E19F8-F3CD-42BE-9817-6EE31F214D9E},2016/11/30,"2",,,0.02061424000,"0.0","03080203036766","436","43617","100000",0.00640278585,0.00000188328,"0",,"03080203007704","1002754","Dolores, Lake",St. Lucie,,FAOL,Dolores,"0",0.000000000000000,0.000000000000000,"1","1"
"405065",{3EE10EAC-FB84-41CD-A883-633BD90EEED9},2016/11/30,"2",,,0.03547033000,"0.0","03080203036809","436","43617","250000",0.01040516189,0.00000324042,"0",,"03080203007707","1002711","Ann, Lake",St. Lucie,,FAOL,Ann,"0",0.000000000000000,0.000000000000000,"1","1"
"405100",{DEAC1843-9D00-4A6C-A2CF-C96B750CBFF7},2016/11/30,"2",,,0.01422460000,"0.0","03080203036849","436","43617","100000",0.00525439482,0.00000129975,"0",,"03080203007684","1002801","Karen, Lake",St. Lucie,,FAOL,Karen,"0",0.000000000000000,0.000000000000000,"1","1"
"408890",{6D8A9737-E3E7-4238-B571-BA195DAD6B61},2017/06/12,"2","00291925",Swan Lake,1.52504466000,"0.0","03080103041557","390","39004","2000000",0.04561573850,0.00014220146,"0","00291925","03080103019267","1001882",Swan Lake,Putnam,,FAOL,Swan,"0",0.000000000000000,0.000000000000000,"1","1"
"408891",{05ED7C66-ED47-423E-B58C-E727153F53C5},2017/06/12,"2","00283624",Hall Lake,0.75409296000,"0.0","03080103041558","390","39004","1000000",0.07974841332,0.00007036398,"0","00283624","03080103003115","1000865",Hall Lake,Clay,,FAOL,Hall,"0",0.000000000000000,0.000000000000000,"1","1"
"410370",{29EDC02D-3BBF-4F38-9085-FD20BD922538},2018/02/20,"2",,,0.08716635000,"0.0","03080103041615","436","43600","250000",0.01490420275,0.00000807989,"0",,FCP1200003560,"1002920",Pine Lake,Volusia,,FAOL,Pine,"0",0.000000000000000,0.000000000000000,"1","1"
"411810",{C6FFD818-70F8-4443-AE69-B725E87C95BE},2018/08/23,"2",,,0.00510958000,"0.0","03090206084681","436","43600","100000",0.00489341821,0.00000046570,"0",,FCP1200003561,"1002921",PSL Botanical Gardens,St. Lucie,,FAOL,PSL Botanical Gardens,"0",0.000000000000000,0.000000000000000,"0","1"
"413396",{36C5AA6F-282D-43DF-B706-228CA2DD8C9E},2018/10/05,"2",,,0.15695930000,"0.0","03100207020703","390","39004","500000",0.02160405304,0.00001446281,"0","00287371","03100207002366","1001372",Mountain Lake,Hernando,,FAOL,Mountain,"0",0.000000000000000,0.000000000000000,"1","1"
"417430",{C085735E-2A8A-49C3-B208-A37ACA8FE041},2018/11/02,"2","00283008",Lake Gem,0.03328933000,"70.0","03080101069446","390","39009","250000",0.00668400446,0.00000307124,"0",,FCP1209500012,"140210","Gem, Lake",Orange,,ORANGE,Gem,"0",0.000000000000000,0.000000000000000,"1","1"
"417431",{60DC2FBD-148A-4E50-8F22-C10886E2B858},2018/11/02,"2","00298077",The Lagoon,0.17092629000,"0.0","03080101069447","390","39004","500000",0.01763944677,0.00001581767,"0","00298077","03080101009301","220130","Lagoon, The",Volusia,,VOLUSIA,Blue Springs Lagoon,"0",0.000000000000000,0.000000000000000,"0","1"
"421491",{74BB4022-2533-4A9D-AE8C-7D74864CFF97},2019/02/12,"2",,,0.21345088000,"0.0",,"390","39001","500000",0.02164755433,0.00001992162,"0","00307133","03080103031430","1002623",Big Lake Johnson,Clay,,FAOL,Johnson,"0",0.000000000000000,0.000000000000000,"1","1"
"422640","112027879",2009/09/10,"2","00286221",Lake Lurna,0.03000000000,"26.8","03090101028078","390","39009","250000",0.00654260705,0.00000276767,"0","00286221","03090101028078","140311","Lurna, Lake",Orange,,ORANGE,Lurna,"0",0.000000000000000,0.000000000000000,"1","1"
"422741","112041999",2013/10/19,"2","00288797",Lake Pierce,15.60450793000,"23.2","03090101034386","390","39009","5000000",0.30194046324,0.00143127223,"0","00288797","03090101034386","160652","Pierce, Lake",Polk,"652",POLK,Pierce,"0",0.000000000000000,0.000000000000000,"1","1"
"423286","112029141",2013/07/10,"2","00279743",Lake Butler,7.02176927000,"29.9","03090101043552","390","39009","2000000",0.18662777406,0.00064706942,"0","00281739",FCP1209500004,"140596",Wauseon Bay,Orange,,ORANGE,Little Wauseon Bay,"0",0.000000000000000,0.000000000000000,"0","1"
"423286","112029141",2013/07/10,"2","00279743",Lake Butler,7.02176927000,"29.9","03090101043552","390","39009","2000000",0.18662777406,0.00064706942,"0","00281739",FCP1209500055,"140116","Butler, Lake",Orange,,ORANGE,Little Wauseon Bay,"0",0.000000000000000,0.000000000000000,"1","1"
"423345","112043045",2003/11/20,"2",,,0.06800000000,"0.0","03090101035074","390","39004","250000",0.00916374924,0.00000621942,"0",,"03090101035074","161265",Little Aurora Lake,Polk,"1265",POLK,Little Aurora,"0",0.000000000000000,0.000000000000000,"1","1"
"423427",c3aa4be1-a57b-47a6-8389-edde0c50422f,2013/07/10,"2","00281739",Lake Down,3.68000794000,"29.9","03090101043551","390","39009","2000000",0.13046820571,0.00033917144,"0","00281739",FCP1209500005,"140597","Down, Lake",Orange,,ORANGE,Little Down,"0",0.000000000000000,0.000000000000000,"1","1"
"423427",c3aa4be1-a57b-47a6-8389-edde0c50422f,2013/07/10,"2","00281739",Lake Down,3.68000794000,"29.9","03090101043551","390","39009","2000000",0.13046820571,0.00033917144,"0","00281739",FCP1209500056,"151869",Little Lake Down,Orange,,ORANGE,Little Down,"0",0.000000000000000,0.000000000000000,"1","1"
"423448","112042861",2009/09/10,"2","00292828",Lake Wales,1.21300000000,"34.1","03090101034986","390","39009","1000000",0.04877035848,0.00011120101,"0","00292828","03090101034986","161104","Wailes, Lake",Polk,"1104",POLK,Wales,"0",0.000000000000000,0.000000000000000,"1","1"
"423543","112038173",2013/08/19,"2","00279374",Brick Lake,2.59418455000,"19.5","03090101032605","390","39009","2000000",0.07032079220,0.00023835453,"0","00279374","03090101032605","1000268",Brick Lake,Osceola,,FAOL,Brick,"0",0.000000000000000,0.000000000000000,"1","1"
"423763","112050187",2014/09/09,"2","00280072",Lake Carrie,0.27669243000,"23.2","03090101038437","390","39009","500000",0.01963578646,0.00002523347,"0","00280072","03090101038437","1000368","Carrie, Lake",Highlands,,FAOL,Carrie,"0",0.000000000000000,0.000000000000000,"1","1"
"423779","112028015",2009/09/10,"2","00286412",Lake Margaret,0.04300000000,"25.3","03090101028144","390","39009","250000",0.00746381089,0.00000392151,"0","00286412","03090101028144","140319","Margaret, Lake",Orange,,ORANGE,Margaret,"0",0.000000000000000,0.000000000000000,"1","1"
"423816","112027807",2003/11/20,"2",,,0.02100000000,"0.0","03090101028043","390","39004","250000",0.00528159374,0.00000195510,"0",,"03090101028043","140305","Lucerne, Lake",Orange,,ORANGE,Lucerne East,"0",0.000000000000000,0.000000000000000,"1","1"
"423831","112050573",2003/11/20,"2",,,0.21100000000,"0.0","03090101038590","390","39004","500000",0.01661579016,0.00001924491,"0",,"03090101038590","1002717","August, Lake",Highlands,,FAOL,August,"0",0.000000000000000,0.000000000000000,"1","1"
"423836","112045847",2009/09/10,"2","00291747",Lake Streety,1.31000000000,"32.0","03090101036388","390","39009","2000000",0.04262350572,0.00011986260,"0","00291747","03090101036388","161846","Streety, Lake",Polk,"1846",POLK,"Streety, Lake","425",0.000000000000000,0.000000000000000,"1","1"
"423906","112047597",2014/09/09,"2","00283112",Lake Glenada,0.73421379000,"35.1","03090101037281","390","39009","1000000",0.04420594324,0.00006709253,"0","00283112","03090101037281","1000787","Glenada, Lake",Highlands,,FAOL,Glenada,"0",0.000000000000000,0.000000000000000,"1","1"
"423996","112044187",2009/09/10,"2","00284459",Lake Ida,0.34600000000,"24.1","03090101035618","390","39009","5000000",0.02099490042,0.00003164916,"0","00284459","03090101035618","161613","Ida, Lake (Frostproof)",Polk,"1613",POLK,Ida,"0",0.000000000000000,0.000000000000000,"1","1"
"424191","104239282",2014/09/09,"2","00284025",Lake Hill,0.28355888000,"30.2","03090101041514","390","39009","500000",0.01836173976,0.00002586250,"0","00284025","03090103012683","1000922","Hill, Lake",Highlands,,FAOL,Hill,"0",0.000000000000000,0.000000000000000,"1","1"
"424484","112029709",2009/09/10,"2","00290734",Lake Sawyer,0.37600000000,"32.0","03090101028856","390","39009","1000000",0.02618195012,0.00003464712,"0","00290734","03090101028856","140117","Sawyer, Lake",Orange,,ORANGE,Sawyer,"0",0.000000000000000,0.000000000000000,"1","1"
"424662","112028819",2003/11/20,"2",,,0.01400000000,"35.4","03090101028522","390","39009","100000",0.00409425139,0.00000127551,"0",,"03090101028522","140199","Floy, Lake",Orange,,ORANGE,Floy,"0",0.000000000000000,0.000000000000000,"1","1"
"425097",{2C5C8A1A-63D8-4B4B-B62B-E1D406B15A2A},2013/07/10,"2","00291494",Lake Speer,1.00071988000,"0.0","03090101044581","390","39004","1000000",0.03843667235,0.00009221032,"0","00291494","03090101028736","140437","Speer, Lake",Orange,,ORANGE,Speer,"0",0.000000000000000,0.000000000000000,"1","1"
"425142","112042187",2014/04/24,"2","00284691",Lake Jackson,4.04150784000,"15.5","03090101034629","390","39009","5000000",0.09861401522,0.00037046124,"0","00284691","03090101034629","1001015","Jackson, Lake",Osceola,,FAOL,Jackson,"0",0.000000000000000,0.000000000000000,"1","1"
"425287","112027865",2003/11/20,"2","00284333",Hourglass Lake,0.05600000000,"25.6","03090101028071","390","39009","250000",0.01132905562,0.00000515899,"0","00284333","03090101028071","140250","Hourglass, Lake",Orange,,ORANGE,Hourglass,"0",0.000000000000000,0.000000000000000,"1","1"
"425288","112027725",2013/07/10,"2","00280170",Lake Cay Dee,0.04364144000,"32.0","03090101028003","390","39009","250000",0.01030922008,0.00000402450,"0","00280170","03090101028003","140130","Cay Dee, Lake",Orange,,ORANGE,Cay Dee North,"0",0.000000000000000,0.000000000000000,"1","1"
"425303","112035515",2003/11/20,"2","00292474",Trout Lake,1.08200000000,"19.2","03090101031413","390","39009","5000000",0.05072402298,0.00009953059,"0","00292474","03090101031413","1001951",Trout Lake,Osceola,,FAOL,Trout,"0",0.000000000000000,0.000000000000000,"1","1"
"425390","112049307",2014/01/12,"2","00284367",Huckleberry Lake,0.44431535000,"32.0","03090101038041","390","39009","1000000",0.02355545109,0.00004056145,"0","00284367","03090101038041","1000964",Huckleberry Lake,Highlands,,FAOL,Huckleberry,"0",0.000000000000000,0.000000000000000,"1","1"
"425420","112049879",2014/09/09,"2","00284942",Lake Josephine,5.15577169000,"21.6","03090101038240","390","39009","2000000",0.14544789700,0.00047043908,"0","00284942",FCP1200003557,"1002910","Josephine, West Lake",Highlands,,FAOL,Josephine Center,"0",0.000000000000000,0.000000000000000,"1","1"
"425420","112049879",2014/09/09,"2","00284942",Lake Josephine,5.15577169000,"21.6","03090101038240","390","39009","2000000",0.14544789700,0.00047043908,"0","00284942",FCP1200003556,"1002909","Josephine, East Lake",Highlands,,FAOL,Josephine Center,"0",0.000000000000000,0.000000000000000,"1","1"
"425420","112049879",2014/09/09,"2","00284942",Lake Josephine,5.15577169000,"21.6","03090101038240","390","39009","2000000",0.14544789700,0.00047043908,"0","00284942","03090101038240","1001066","Josephine, Central Lake",Highlands,,FAOL,Josephine Center,"0",0.000000000000000,0.000000000000000,"1","1"
"425570","112031011",2003/11/20,"2","00284368",Huckleberry Lake,0.39200000000,"29.3","03090101029413","390","39009","1000000",0.02291449719,0.00003607233,"0","00284368","03090101029413","140054",Huckleberry Lake,Orange,,ORANGE,Huckleberry,"0",0.000000000000000,0.000000000000000,"1","1"
"425602","112050297",2014/01/12,"2","00280516",Lake Clay,1.43846032000,"23.8","03090101038456","390","39009","2000000",0.05288399097,0.00013115209,"0","00280516","03090101038456","1000425","Clay, Lake",Highlands,,FAOL,Clay,"0",0.000000000000000,0.000000000000000,"1","1"
"425633","112046363",2014/09/09,"2","00277693",Lake Adelaide,0.38904971000,"30.5","03090101036681","390","39009","1000000",0.02599471084,0.00003557573,"0","00277693","03090101036681","1000011","Adelaide, Lake",Highlands,,FAOL,Adelaide,"0",0.000000000000000,0.000000000000000,"1","1"
"425718","112039679",2013/08/19,"2","00283023",Lake Gentry,7.28166119000,"18.9","03090101033134","390","39009","5000000",0.12416122235,0.00066887575,"0","00283023","03090101033134","1000771","Gentry, Lake",Osceola,,FAOL,Gentry,"0",0.000000000000000,0.000000000000000,"1","1"
"425754","120024235",2011/04/15,"2","00288428",Lake Palmer,0.18800000000,"0.0","03090101028738","390","39004","500000",0.01969815329,0.00001730568,"0","00288428","03090101028738","140260","Isleworth, Lake",Orange,,ORANGE,Isleworth,"0",0.000000000000000,0.000000000000000,"1","1"
"425814","112035913",2009/09/10,"2","00290057",Lake Runnymede,1.34100000000,"0.0","03090101031536","390","39004","2000000",0.06281284556,0.00012329838,"0","00290057","03090101031536","1001650","Runnymede, Lake",Osceola,,FAOL,Runnymeade,"0",0.000000000000000,0.000000000000000,"1","1"
"425864","112032619",2013/07/10,"2","00277708",Ajay Lake,0.51535269000,"0.0","03090101030038","390","39004","5000000",0.06227234022,0.00004742585,"0","00277708","03090101030038","1000012",Ajay Lake,Osceola,,FAOL,Ajay,"0",0.000000000000000,0.000000000000000,"1","1"
"425917","112050465",2014/09/09,"2","00286590",Lake McCoy,0.20036650000,"26.2","03090101038548","390","39009","500000",0.01583831281,0.00001826420,"0","00286590","03090101038548","1001289","Mccoy, Lake",Highlands,,FAOL,McCoy,"0",0.000000000000000,0.000000000000000,"1","1"
"425954","112047069",2009/09/10,"2","00277883",Lake Angelo,0.22600000000,"28.0","03090101037030","390","39009","500000",0.01804373626,0.00002063049,"0","00277883","03090101037030","1000041","Angelo, Lake",Highlands,,FAOL,Angelo,"0",0.000000000000000,0.000000000000000,"1","1"
"425974","112050083",2003/11/20,"2","00288729",Persimmon Lake,0.15200000000,"20.7","03090101038392","390","39009","500000",0.01859882090,0.00001381976,"0","00288729","03090101038392","1001514",Persimmon Lake,Highlands,,FAOL,Persimmon,"0",0.000000000000000,0.000000000000000,"1","1"
"425995","112027805",2009/09/10,"2","00280358",Lake Cherokee,0.04900000000,"21.3","03090101028042","390","39009","250000",0.00833433767,0.00000451566,"0","00280358","03090101028042","140137","Cherokee, Lake",Orange,,ORANGE,Cherokee,"0",0.000000000000000,0.000000000000000,"1","1"
